time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:15:26.59Z,37.8350893,-121.6325004,-0.054,0.79,0.31,-1.56,873.128,894.316,10.37,0.00000,180.00000,3,4
2018-07-07T22:15:26.79Z,37.8351479,-121.6324856,16.246,0.53,0.28,-1.21,132.503,93.036,7.40,0.00000,180.00000,3,4
2018-07-07T22:15:27.00Z,37.8351874,-121.6324991,16.320,0.44,0.16,-0.92,102.508,71.949,5.49,0.00000,180.00000,3,4
2018-07-07T22:15:27.20Z,37.8352039,-121.6325037,16.369,0.36,0.06,-0.63,90.562,63.524,4.59,0.00000,180.00000,3,4
2018-07-07T22:15:27.40Z,37.8351824,-121.6325028,16.370,0.13,-0.07,-0.22,84.870,59.511,3.89,0.00000,180.00000,3,4
2018-07-07T22:15:27.60Z,37.8351922,-121.6325173,16.395,0.12,-0.18,0.11,81.735,57.306,1.70,0.00000,180.00000,3,4
2018-07-07T22:15:27.79Z,37.8351370,-121.6325779,16.409,-0.05,-0.25,0.46,79.354,55.633,2.73,0.00000,180.00000,3,4
2018-07-07T22:15:28.00Z,37.8351480,-121.6325612,16.461,-0.14,-0.35,0.69,76.344,53.510,2.62,0.00000,180.00000,3,4
2018-07-07T22:15:28.17Z,37.8353518,-121.6327343,98.006,-0.35,-0.42,0.96,51.709,52.714,2.23,0.00000,178.94002,3,6
2018-07-07T22:15:28.35Z,37.8354038,-121.6327001,80.231,-0.11,-0.69,1.17,41.493,35.554,1.86,0.00000,146.35242,3,7
2018-07-07T22:15:28.57Z,37.8353585,-121.6326802,75.036,-0.05,-0.53,1.23,38.949,33.632,1.83,0.00000,146.35252,3,7
2018-07-07T22:15:28.80Z,37.8352714,-121.6327072,95.312,0.04,-0.43,1.27,43.288,42.043,1.80,0.00000,146.35262,3,7
2018-07-07T22:15:28.99Z,37.8353049,-121.6327248,96.272,0.09,-0.31,1.42,41.189,39.721,1.79,0.00000,146.35272,3,7
2018-07-07T22:15:29.19Z,37.8352604,-121.6326894,87.011,0.09,-0.24,1.52,46.535,47.004,1.75,0.00000,146.35280,3,7
2018-07-07T22:15:29.37Z,37.8353917,-121.6329979,113.326,0.19,-0.26,1.68,30.056,27.420,1.70,0.00000,146.35292,3,7
2018-07-07T22:15:29.60Z,37.8353259,-121.6327809,101.897,0.17,-0.22,1.74,42.411,44.315,1.65,0.00000,146.35302,3,7
2018-07-07T22:15:29.80Z,37.8352823,-121.6328557,128.149,0.35,-0.23,1.81,35.394,39.157,1.60,0.00000,146.35314,3,7
2018-07-07T22:15:30.00Z,37.8352826,-121.6328439,118.720,-0.05,-0.59,1.83,34.990,39.125,1.50,0.00000,146.35326,3,7
2018-07-07T22:15:30.20Z,37.8353186,-121.6328489,112.826,-0.34,-0.74,1.76,32.136,35.605,1.42,0.00000,146.35338,3,7
