time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:15:07.60Z,37.8353511,-121.6331004,29.733,3.89,-1.11,-4.51,133.662,149.962,14.17,0.00000,47.18304,3,4
2018-07-07T22:15:07.80Z,37.8353467,-121.6331001,30.364,3.92,-0.80,-4.56,92.573,82.052,8.43,353.61081,42.62990,3,4
2018-07-07T22:15:08.00Z,37.8353649,-121.6331057,31.444,3.88,-0.23,-4.55,93.259,88.583,7.08,353.61081,42.64484,3,4
2018-07-07T22:15:08.20Z,37.8353680,-121.6330990,33.822,3.74,0.13,-4.59,81.501,80.237,6.26,353.61081,42.65804,3,4
2018-07-07T22:15:08.40Z,37.8353745,-121.6330918,35.548,3.60,0.33,-4.64,73.402,73.961,5.71,353.61081,42.67046,3,4
2018-07-07T22:15:08.60Z,37.8353834,-121.6330887,37.452,3.48,0.45,-4.70,67.432,69.050,5.32,353.61081,42.68284,3,4
2018-07-07T22:15:11.60Z,37.8354104,-121.6330115,50.264,1.50,0.86,-2.77,44.696,41.573,4.98,353.61081,42.88580,3,4
2018-07-07T22:15:11.80Z,37.8353851,-121.6329779,48.523,0.92,1.48,-2.28,42.498,39.919,4.05,353.61081,42.89431,3,4
2018-07-07T22:15:12.00Z,37.8353658,-121.6329514,47.533,0.47,1.59,-2.14,40.887,38.698,3.80,353.61081,42.90229,3,4
2018-07-07T22:15:12.20Z,37.8353537,-121.6329318,47.333,0.14,1.62,-2.13,39.577,37.722,3.71,353.61081,42.91008,3,4
2018-07-07T22:15:12.40Z,37.8353427,-121.6329128,47.347,-0.09,1.69,-2.17,38.396,36.876,3.66,353.61081,42.91775,3,4
2018-07-07T22:15:12.60Z,37.8353316,-121.6328934,47.532,-0.25,1.80,-2.25,37.361,36.125,3.61,353.61081,42.92533,3,4
2018-07-07T22:15:12.80Z,37.8353213,-121.6328750,48.012,-0.39,1.87,-2.36,36.428,35.481,3.58,353.61081,42.93283,3,4
2018-07-07T22:15:13.00Z,37.8353134,-121.6328585,48.639,-0.44,2.09,-2.46,35.590,34.889,3.54,353.61081,42.94025,3,4
2018-07-07T22:15:13.20Z,37.8353049,-121.6328419,49.462,-0.72,1.78,-2.60,34.844,34.383,3.50,353.61081,42.94759,3,4
2018-07-07T22:15:13.40Z,37.8352956,-121.6328257,49.908,-1.03,2.31,-2.70,34.083,33.882,3.42,353.61081,42.95535,3,4
2018-07-07T22:15:13.60Z,37.8352877,-121.6328107,50.284,-0.95,3.00,-2.73,33.409,33.456,3.40,48.28341,44.76787,3,4
2018-07-07T22:15:13.80Z,37.8352780,-121.6327938,50.638,-1.21,3.10,-2.76,32.792,33.055,3.35,83.26800,40.12921,3,4
2018-07-07T22:15:14.00Z,37.8352515,-121.6327722,49.522,-2.01,3.33,-2.21,32.078,32.650,3.28,107.40244,30.31064,3,5
2018-07-07T22:15:14.20Z,37.8352335,-121.6327944,44.561,-2.17,2.00,-1.31,30.327,31.052,2.87,124.08799,27.01569,3,6
2018-07-07T22:15:14.40Z,37.8352141,-121.6327984,41.740,-2.47,1.65,-0.67,29.117,29.997,3.10,135.51169,26.17388,3,6
2018-07-07T22:15:14.60Z,37.8351957,-121.6327959,39.919,-2.93,1.99,-0.33,28.114,29.125,3.24,141.49841,21.96748,3,6
2018-07-07T22:15:14.80Z,37.8351825,-121.6327953,38.307,-2.69,2.32,-0.39,27.286,28.370,3.31,140.39640,22.72328,3,6
2018-07-07T22:15:15.00Z,37.8351700,-121.6327922,37.174,-2.54,2.01,-0.49,26.525,27.651,3.35,140.98618,23.45372,3,6
2018-07-07T22:15:15.20Z,37.8351584,-121.6327881,36.336,-2.22,1.90,-0.54,25.851,27.020,3.36,140.30741,26.64546,3,6
