time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-08T00:17:53.97Z,37.8352305,-121.6321995,-12.069,2.96,5.67,3.12,178.056,132.352,10.18,62.45872,29.29444,3,5
2018-07-08T00:17:54.17Z,37.8351940,-121.6323561,17.041,2.84,5.50,3.09,70.945,59.373,6.11,62.57764,18.88900,3,5
2018-07-08T00:17:54.80Z,37.8351859,-121.6324697,33.181,1.97,2.49,3.25,35.701,33.194,3.15,56.22008,11.68893,3,6
2018-07-08T00:17:55.00Z,37.8352392,-121.6324246,37.340,1.81,2.39,3.14,33.160,30.541,2.91,55.64576,10.64115,3,6
2018-07-08T00:17:55.21Z,37.8350904,-121.6325466,5.880,1.62,2.30,3.16,35.040,40.994,2.77,55.52854,9.86452,3,5
2018-07-08T00:17:55.40Z,37.8350434,-121.6325924,2.485,1.50,2.19,3.18,32.017,37.828,2.70,55.52491,9.30212,3,5
2018-07-08T00:17:55.60Z,37.8350619,-121.6326302,-0.321,1.38,2.05,3.19,29.492,35.165,2.65,55.57167,8.89566,3,5
2018-07-08T00:17:55.80Z,37.8350537,-121.6326779,-9.702,1.27,1.98,3.19,27.327,32.764,2.60,55.69096,8.57463,3,5
2018-07-08T00:17:55.99Z,37.8350455,-121.6326764,29.426,1.22,1.89,3.18,39.274,30.336,2.60,55.77132,8.35272,3,4
2018-07-08T00:17:56.18Z,37.8350308,-121.6327184,29.588,1.18,1.83,3.12,38.002,29.523,2.59,55.83051,8.17865,3,4
2018-07-08T00:17:56.40Z,37.8349760,-121.6327324,29.710,1.13,1.79,3.03,37.004,28.930,2.59,55.89959,8.03655,3,4
2018-07-08T00:17:56.78Z,37.8349136,-121.6327938,28.875,1.29,1.73,2.93,87.198,62.305,2.68,55.81354,7.81231,3,4
2018-07-08T00:17:57.00Z,37.8347029,-121.6329652,28.884,1.41,1.71,2.85,86.283,61.686,2.71,55.62381,7.67286,3,4
2018-07-08T00:17:57.17Z,37.8349956,-121.6326808,28.902,1.47,1.69,2.78,84.625,60.515,2.75,55.37305,7.53177,3,4
2018-07-08T00:17:57.40Z,37.8346905,-121.6329488,47.236,1.51,1.50,3.00,74.856,83.108,2.80,55.00055,7.40240,3,5
2018-07-08T00:17:57.60Z,37.8348769,-121.6328646,28.939,1.56,1.52,2.93,80.873,57.855,2.81,54.62142,7.27324,3,4
2018-07-08T00:17:57.81Z,37.8348149,-121.6329447,28.954,1.57,1.53,2.87,79.797,57.093,2.83,54.25068,7.14764,3,4
2018-07-08T00:17:57.99Z,37.8348734,-121.6328920,26.710,1.43,1.54,2.71,34.454,29.002,2.67,53.97683,7.01418,3,5
2018-07-08T00:17:58.19Z,37.8349258,-121.6328354,28.979,1.34,1.55,2.58,34.745,28.966,2.59,53.80771,6.89287,3,5
2018-07-08T00:17:58.39Z,37.8349365,-121.6328164,26.449,1.30,1.55,2.46,35.319,29.391,2.52,53.68325,6.78127,3,5
2018-07-08T00:17:58.59Z,37.8349972,-121.6327712,25.741,1.28,1.52,2.31,35.277,29.481,2.47,53.57067,6.67901,3,5
2018-07-08T00:17:58.79Z,37.8350030,-121.6327734,19.987,1.03,1.71,2.83,35.909,29.904,2.40,53.72683,6.58634,3,5
2018-07-08T00:17:59.01Z,37.8349138,-121.6328561,10.365,0.94,1.71,2.95,36.177,30.088,2.35,53.92294,6.50420,3,5
2018-07-08T00:17:59.21Z,37.8348417,-121.6329351,7.758,0.83,1.79,3.23,35.988,29.794,2.28,54.21329,6.42495,3,5
2018-07-08T00:17:59.40Z,37.8348169,-121.6329630,6.949,0.69,1.87,3.57,36.820,30.391,2.22,54.58496,6.35240,3,5
