time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:10:23.80Z,37.8353043,-121.6328303,111.045,-1.79,2.99,1.92,154.637,104.349,10.10,0.00000,68.90136,3,4
2018-07-07T22:10:24.00Z,37.8352592,-121.6328029,110.688,-3.23,-4.12,-3.51,88.321,65.445,5.12,266.80512,42.14561,3,4
2018-07-07T22:10:24.60Z,37.8352184,-121.6327741,104.791,-0.35,-1.97,-1.74,79.902,55.639,4.15,266.80512,42.17710,3,4
2018-07-07T22:10:24.80Z,37.8352180,-121.6327557,103.828,-0.09,-1.58,-1.27,74.583,50.921,3.99,266.80512,42.18562,3,4
2018-07-07T22:10:25.00Z,37.8352137,-121.6327403,101.841,0.08,-0.93,-0.78,68.847,46.622,3.42,266.80512,42.19292,3,4
2018-07-07T22:10:25.20Z,37.8352153,-121.6327158,101.963,-0.40,-0.75,-0.49,64.733,43.162,2.65,266.80512,42.19856,3,4
2018-07-07T22:10:25.40Z,37.8352150,-121.6326951,102.779,-0.70,-0.24,-0.08,61.558,40.255,1.91,266.80512,42.20264,3,4
2018-07-07T22:10:25.60Z,37.8351349,-121.6324915,96.666,-1.47,-0.28,-0.12,46.069,35.307,1.80,266.80512,42.20649,3,5
2018-07-07T22:10:25.80Z,37.8351099,-121.6324298,95.396,-1.25,-0.04,-0.01,38.790,32.450,1.56,266.80512,42.20983,3,5
2018-07-07T22:10:26.00Z,37.8350998,-121.6324074,95.276,-0.55,0.59,0.04,34.620,30.573,1.08,266.80512,42.21213,3,5
2018-07-07T22:10:26.20Z,37.8350993,-121.6324028,95.434,-0.35,0.17,0.15,31.730,28.939,1.17,266.80512,42.21462,3,5
2018-07-07T22:10:26.40Z,37.8351000,-121.6323995,94.828,-0.43,0.11,-0.06,29.455,27.425,1.14,266.80512,42.21706,3,5
2018-07-07T22:10:26.60Z,37.8351021,-121.6324054,94.653,-0.71,-0.06,0.13,27.606,26.056,1.35,266.80512,42.21994,3,5
2018-07-07T22:10:26.80Z,37.8351040,-121.6324099,94.426,-0.36,0.22,0.06,26.102,24.892,0.98,266.80512,42.22202,3,5
2018-07-07T22:10:27.00Z,37.8351065,-121.6324115,93.789,-0.02,0.59,0.17,24.877,23.894,1.25,266.80512,42.22468,3,5
2018-07-07T22:10:27.20Z,37.8351116,-121.6324151,93.720,-0.20,0.10,0.34,23.400,22.985,1.29,266.80512,42.22743,3,5
2018-07-07T22:10:27.40Z,37.8351150,-121.6324173,93.965,-0.10,-0.42,0.33,22.478,22.213,1.66,266.80512,42.23096,3,5
2018-07-07T22:10:27.60Z,37.8351198,-121.6324179,94.669,0.19,-0.07,0.24,21.351,21.484,1.40,266.80512,42.23394,3,5
2018-07-07T22:10:27.80Z,37.8351246,-121.6324160,94.620,-0.14,0.31,0.14,20.376,20.824,0.98,266.80512,42.23604,3,5
2018-07-07T22:10:28.00Z,37.8351293,-121.6324143,94.947,0.13,0.23,0.02,19.507,20.226,1.50,266.80512,42.23923,3,5
2018-07-07T22:10:28.20Z,37.8351327,-121.6324152,95.417,0.23,0.10,0.15,18.746,19.680,1.41,266.80512,42.24223,3,5
2018-07-07T22:10:28.40Z,37.8351334,-121.6324178,95.886,-0.25,-0.21,0.04,18.066,19.170,1.54,266.80512,42.24550,3,5
2018-07-07T22:10:28.60Z,37.8351347,-121.6324210,96.384,-0.11,0.06,0.17,17.467,18.747,1.22,266.80512,42.24809,3,5
2018-07-07T22:10:28.80Z,37.8351369,-121.6324222,96.775,-0.03,0.17,0.13,16.996,18.408,1.22,266.80512,42.25070,3,5
2018-07-07T22:10:29.00Z,37.8351382,-121.6324244,96.900,-0.24,-0.19,0.25,16.562,18.096,1.80,266.80512,42.25452,3,5
2018-07-07T22:10:29.20Z,37.8351391,-121.6324259,96.908,-0.09,0.18,0.22,16.216,17.840,1.18,266.80512,42.25705,3,5
2018-07-07T22:10:29.40Z,37.8351408,-121.6324292,96.641,0.45,0.97,0.14,15.840,17.571,1.69,266.80512,42.26065,3,5
2018-07-07T22:10:29.60Z,37.8351431,-121.6324286,96.602,0.95,1.03,0.05,15.510,17.328,1.76,266.80512,42.26440,3,5
2018-07-07T22:10:29.80Z,37.8351460,-121.6324253,96.802,0.98,1.56,-0.14,15.221,17.106,1.74,350.59492,37.92807,3,5
2018-07-07T22:10:30.00Z,37.8351475,-121.6324218,96.882,0.76,1.30,-0.31,14.931,16.883,1.74,20.50243,43.47553,3,5
2018-07-07T22:10:30.20Z,37.8351475,-121.6324243,96.645,-0.27,-0.08,-0.04,14.674,16.676,1.80,20.50243,43.47926,3,5
2018-07-07T22:10:30.40Z,37.8351479,-121.6324285,96.318,-0.10,-0.59,0.44,14.441,16.482,1.89,20.50243,43.48318,3,5
2018-07-07T22:10:30.60Z,37.8351478,-121.6324334,95.814,-0.24,-0.79,0.63,14.222,16.298,1.92,20.50243,43.48715,3,5
2018-07-07T22:10:30.80Z,37.8351484,-121.6324335,95.295,0.09,0.27,0.52,14.028,16.131,1.50,20.50243,43.49026,3,5
2018-07-07T22:10:31.00Z,37.8351492,-121.6324332,94.796,0.43,0.56,0.32,13.848,15.976,1.71,20.50243,43.49381,3,5
2018-07-07T22:10:31.20Z,37.8351513,-121.6324334,93.983,1.18,0.60,0.72,13.685,15.830,1.84,20.50243,43.49761,3,5
2018-07-07T22:10:31.40Z,37.8351537,-121.6324341,92.878,1.61,0.35,1.08,13.517,15.685,1.67,20.50243,43.50169,3,5
2018-07-07T22:10:31.60Z,37.8351559,-121.6324350,91.831,1.65,0.50,1.33,13.367,15.551,1.68,20.50243,43.50618,3,5
2018-07-07T22:10:31.80Z,37.8351565,-121.6324366,91.074,0.98,0.82,1.21,13.273,15.440,1.78,20.50243,43.50987,3,5
2018-07-07T22:10:32.00Z,37.8351553,-121.6324397,90.226,0.34,0.48,1.07,13.170,15.318,1.60,20.50243,43.51318,3,5
2018-07-07T22:10:32.20Z,37.8351539,-121.6324429,89.404,0.15,0.60,1.05,13.069,15.183,1.46,20.50243,43.51620,3,5
2018-07-07T22:10:32.40Z,37.8351528,-121.6324476,88.315,0.25,-0.21,1.25,12.961,15.064,1.80,20.50243,43.51993,3,5
2018-07-07T22:10:32.60Z,37.8351509,-121.6324537,87.548,-0.24,-0.44,1.16,12.859,14.937,1.84,20.50243,43.52373,3,5
2018-07-07T22:10:32.80Z,37.8351492,-121.6324578,86.768,-0.29,-0.21,1.00,12.762,14.812,1.69,20.50243,43.52722,3,5
2018-07-07T22:10:33.00Z,37.8351465,-121.6324656,85.503,-0.78,-0.01,0.83,12.645,14.647,1.45,20.50243,43.53022,3,5
2018-07-07T22:10:33.20Z,37.8351465,-121.6324700,84.406,0.38,-0.17,0.99,12.504,14.501,1.64,20.50243,43.53361,3,5
2018-07-07T22:10:33.40Z,37.8351445,-121.6324768,83.904,-0.34,0.22,0.72,12.339,14.351,1.26,20.50243,43.53621,3,5
2018-07-07T22:10:33.60Z,37.8351444,-121.6324803,82.978,0.18,0.35,0.81,12.183,14.219,1.46,20.50243,43.53922,3,5
2018-07-07T22:10:33.80Z,37.8351443,-121.6324840,82.234,0.07,0.30,0.93,12.046,14.081,1.42,20.50243,43.54217,3,5
2018-07-07T22:10:34.00Z,37.8351448,-121.6324878,81.808,0.16,0.21,0.75,11.895,13.943,1.48,20.50243,43.54522,3,5
