time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:15:38.20Z,37.8352295,-121.6323267,-37.011,0.79,-0.79,-2.03,92.835,146.625,7.55,0.00000,180.00000,3,4
2018-07-07T22:15:38.40Z,37.8352535,-121.6322836,-35.045,0.12,0.04,-1.27,80.958,96.264,5.20,0.00000,180.00000,3,4
2018-07-07T22:15:38.60Z,37.8352246,-121.6323153,-40.171,-0.20,-0.66,-0.92,69.463,91.411,4.42,0.00000,128.85472,3,4
2018-07-07T22:15:38.80Z,37.8352116,-121.6323080,-45.210,0.01,-0.34,-0.79,56.063,76.146,3.85,0.00000,128.85500,3,4
2018-07-07T22:15:39.00Z,37.8352112,-121.6322837,-47.201,-0.40,-0.14,-0.80,49.127,67.341,3.15,0.00000,128.85522,3,4
2018-07-07T22:15:39.20Z,37.8351985,-121.6322825,-48.711,-0.31,0.15,-0.71,43.666,62.198,2.49,0.00000,128.85540,3,4
2018-07-07T22:15:39.40Z,37.8351911,-121.6323001,-49.782,0.29,0.39,-0.28,35.027,52.855,0.95,0.00000,128.85546,3,5
2018-07-07T22:15:39.60Z,37.8351769,-121.6323151,-52.048,-0.02,0.40,-0.30,31.181,48.957,0.89,0.00000,128.85552,3,5
2018-07-07T22:15:39.80Z,37.8351706,-121.6323232,-53.953,0.01,0.45,-0.22,28.449,46.005,0.75,0.00000,128.85556,3,5
2018-07-07T22:15:40.00Z,37.8351671,-121.6323305,-54.541,0.10,0.45,-0.12,26.399,43.621,0.79,0.00000,128.85562,3,5
2018-07-07T22:15:40.20Z,37.8351672,-121.6323332,-55.166,0.13,0.54,0.00,24.839,42.156,1.06,0.00000,128.85570,3,5
2018-07-07T22:15:40.40Z,37.8351478,-121.6323585,-54.187,0.17,0.65,-0.01,23.063,39.751,0.99,0.00000,128.85576,3,5
2018-07-07T22:15:40.60Z,37.8351306,-121.6323811,-53.463,0.12,0.70,0.02,21.569,37.703,1.03,0.00000,128.85582,3,5
2018-07-07T22:15:40.80Z,37.8351161,-121.6323989,-53.286,0.02,0.72,0.09,20.161,35.572,1.12,0.00000,128.85590,3,5
2018-07-07T22:15:41.00Z,37.8351070,-121.6324163,-50.942,-0.05,0.69,0.20,19.140,33.617,1.24,0.00000,128.85600,3,6
2018-07-07T22:15:41.20Z,37.8351101,-121.6324171,-50.455,-0.06,0.98,0.36,18.387,32.105,1.29,84.14852,42.39531,3,6
2018-07-07T22:15:41.40Z,37.8351091,-121.6324288,-48.443,-0.05,0.78,0.28,17.651,30.811,1.22,84.14852,42.39557,3,6
2018-07-07T22:15:41.60Z,37.8351094,-121.6324409,-46.143,0.07,0.58,0.25,16.944,29.445,1.22,84.14852,42.39583,3,6
2018-07-07T22:15:41.80Z,37.8351060,-121.6324652,-42.537,0.26,0.48,0.24,15.839,27.262,1.09,84.14852,42.39606,3,7
2018-07-07T22:15:42.00Z,37.8350980,-121.6324882,-39.341,-0.07,0.53,0.21,14.956,25.435,1.08,84.14852,42.39629,3,7
2018-07-07T22:15:42.20Z,37.8350947,-121.6325018,-37.447,-0.10,0.51,0.19,14.391,24.185,1.06,84.14852,42.39651,3,7
2018-07-07T22:15:42.40Z,37.8350876,-121.6325161,-35.138,0.23,0.26,0.30,13.853,23.256,1.06,84.14852,42.39674,3,7
2018-07-07T22:15:42.60Z,37.8350778,-121.6325323,-32.411,0.16,0.25,0.28,13.362,22.341,1.09,84.14852,42.39697,3,7
2018-07-07T22:15:42.80Z,37.8350742,-121.6325425,-30.627,0.07,0.38,0.32,12.912,21.527,1.13,84.14852,42.39721,3,7
2018-07-07T22:15:43.00Z,37.8350709,-121.6325503,-29.390,-0.19,0.55,0.36,12.503,20.825,1.09,84.14852,42.39744,3,7
2018-07-07T22:15:43.20Z,37.8350637,-121.6325586,-28.247,0.02,0.49,0.42,12.135,20.257,1.10,84.14852,42.39767,3,7
2018-07-07T22:15:43.40Z,37.8350589,-121.6325640,-27.430,-0.10,0.51,0.48,11.814,19.750,1.11,84.14852,42.39791,3,7
2018-07-07T22:15:43.60Z,37.8350551,-121.6325683,-26.955,-0.18,0.43,0.47,11.542,19.300,1.10,84.14852,42.39814,3,7
2018-07-07T22:15:43.80Z,37.8350538,-121.6325702,-26.938,0.03,0.24,0.50,11.268,18.840,1.12,84.14852,42.39838,3,7
2018-07-07T22:15:44.00Z,37.8350537,-121.6325700,-27.359,-0.08,0.26,0.48,11.004,18.302,1.11,84.14852,42.39862,3,7
