time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-08T00:15:00.60Z,37.8351468,-121.6327546,-49.127,-3.09,-3.67,11.36,131.795,383.322,26.70,229.94622,26.72275,3,4
2018-07-08T00:15:01.00Z,37.8350774,-121.6328604,-27.441,-0.96,-0.04,0.32,29.297,58.820,2.13,229.94622,100.30432,3,6
2018-07-08T00:15:01.20Z,37.8351137,-121.6328031,-14.984,0.28,-0.35,0.14,19.111,39.526,1.20,229.94622,100.30540,3,7
2018-07-08T00:15:01.40Z,37.8351207,-121.6327993,-8.836,0.02,0.13,-0.58,14.371,28.932,1.11,229.94622,100.30638,3,7
2018-07-08T00:15:01.60Z,37.8351163,-121.6327618,1.337,-0.47,0.77,-0.57,11.555,22.156,0.77,135.39071,38.99515,3,8
2018-07-08T00:15:01.80Z,37.8351131,-121.6327394,7.007,-0.65,0.12,-0.17,10.050,17.803,0.72,135.39071,38.99681,3,7
2018-07-08T00:15:02.00Z,37.8351311,-121.6327194,9.422,-0.17,0.38,0.01,8.549,14.144,0.67,135.39071,38.99835,3,7
2018-07-08T00:15:02.20Z,37.8351331,-121.6326924,14.864,0.16,0.69,0.00,7.767,12.037,0.60,135.39071,38.99998,3,7
2018-07-08T00:15:02.40Z,37.8351480,-121.6326617,21.149,-0.39,0.23,-0.33,7.052,10.355,0.52,135.39071,39.00126,3,7
2018-07-08T00:15:02.60Z,37.8351585,-121.6326373,24.993,-0.46,0.25,0.04,6.411,9.100,0.58,135.39071,39.00260,3,7
2018-07-08T00:15:02.80Z,37.8351604,-121.6326148,28.519,-0.56,0.13,-0.14,5.883,8.175,0.56,135.39071,39.00396,3,7
2018-07-08T00:15:03.00Z,37.8351692,-121.6326027,29.110,-0.45,0.03,0.19,5.438,7.448,0.61,135.39071,39.00536,3,7
2018-07-08T00:15:03.20Z,37.8351442,-121.6326269,23.686,-0.40,0.14,0.30,4.680,6.346,0.44,135.39071,39.00656,3,8
2018-07-08T00:15:03.40Z,37.8351359,-121.6326389,21.480,-0.24,0.15,0.20,4.128,5.570,0.40,135.39071,39.00748,3,9
2018-07-08T00:15:03.60Z,37.8351283,-121.6326482,19.456,0.05,-0.09,0.28,3.726,5.021,0.41,135.39071,39.00843,3,9
2018-07-08T00:15:03.80Z,37.8351236,-121.6326583,18.953,0.34,-0.15,0.52,3.484,4.605,0.43,135.39071,39.00991,3,8
2018-07-08T00:15:04.00Z,37.8351198,-121.6326644,18.950,0.49,-0.44,0.59,3.289,4.280,0.41,34.06606,33.86220,3,9
2018-07-08T00:15:04.20Z,37.8351186,-121.6326634,19.049,0.40,-0.42,0.35,3.157,4.065,0.35,348.40080,29.62923,3,9
2018-07-08T00:15:04.40Z,37.8351175,-121.6326632,18.595,0.05,-0.25,0.14,3.135,4.019,0.31,348.40080,29.63017,3,9
2018-07-08T00:15:04.60Z,37.8351166,-121.6326572,18.829,0.02,-0.05,-0.01,3.190,4.097,0.29,348.40080,29.63104,3,8
2018-07-08T00:15:04.80Z,37.8351196,-121.6326522,18.838,-0.04,-0.06,0.02,3.173,4.093,0.27,348.40080,29.63187,3,8
2018-07-08T00:15:05.00Z,37.8351248,-121.6326471,19.450,-0.26,0.01,0.11,3.089,3.994,0.30,348.40080,29.63278,3,8
2018-07-08T00:15:05.20Z,37.8351285,-121.6326404,19.741,-0.34,0.09,0.13,3.071,3.995,0.30,59.54456,36.05876,3,8
2018-07-08T00:15:05.40Z,37.8351305,-121.6326351,19.792,-0.30,-0.04,0.31,2.955,3.890,0.34,115.88819,40.85863,3,9
2018-07-08T00:15:05.60Z,37.8351297,-121.6326352,19.548,-0.17,-0.10,0.26,2.939,3.874,0.34,115.88819,40.85938,3,9
2018-07-08T00:15:05.80Z,37.8351305,-121.6326345,18.991,-0.06,-0.04,0.27,2.937,3.876,0.37,115.88819,40.86019,3,9
2018-07-08T00:15:06.00Z,37.8351290,-121.6326338,18.938,-0.13,0.02,0.20,2.902,3.829,0.35,115.88819,40.86096,3,9
2018-07-08T00:15:06.20Z,37.8351272,-121.6326328,18.913,0.06,-0.05,0.13,2.817,3.713,0.34,115.88819,40.86170,3,9
2018-07-08T00:15:06.40Z,37.8351255,-121.6326326,18.948,0.13,-0.07,0.18,2.784,3.665,0.33,115.88819,40.86244,3,9
2018-07-08T00:15:06.60Z,37.8351271,-121.6326328,18.624,0.28,-0.04,0.23,2.797,3.680,0.30,53.22866,40.19561,3,8
2018-07-08T00:15:06.80Z,37.8351282,-121.6326304,18.412,0.39,-0.05,0.22,2.798,3.702,0.27,13.03507,28.19328,3,8
2018-07-08T00:15:07.00Z,37.8351286,-121.6326281,18.077,0.36,-0.02,0.26,2.767,3.682,0.28,5.93271,32.15253,3,8
2018-07-08T00:15:07.20Z,37.8351284,-121.6326250,17.955,0.37,0.03,0.30,2.691,3.607,0.29,5.07111,33.17223,3,8
2018-07-08T00:15:07.40Z,37.8351248,-121.6326200,18.866,0.44,0.08,-0.02,2.605,3.482,0.29,8.21465,29.28606,3,7
2018-07-08T00:15:07.58Z,37.8351229,-121.6326186,19.201,0.44,-0.07,0.10,2.398,3.199,0.34,359.23786,27.26398,3,7
2018-07-08T00:15:07.80Z,37.8351206,-121.6326164,19.380,-0.19,-0.24,-0.05,2.389,3.178,0.25,359.23786,27.26499,3,7
2018-07-08T00:15:08.00Z,37.8351186,-121.6326149,19.439,-0.05,-0.16,0.00,2.352,3.118,0.23,359.23786,27.26575,3,7
2018-07-08T00:15:08.20Z,37.8351167,-121.6326143,19.512,-0.07,0.12,-0.04,2.306,3.044,0.33,359.23786,27.26684,3,7
2018-07-08T00:15:08.40Z,37.8351154,-121.6326126,19.650,0.15,0.18,0.03,2.272,2.985,0.26,359.23786,27.26771,3,7
2018-07-08T00:15:08.60Z,37.8351157,-121.6326098,19.992,0.11,0.06,-0.03,2.149,2.815,0.34,359.23786,27.26885,3,7
2018-07-08T00:15:08.80Z,37.8351158,-121.6326080,20.260,-0.18,-0.18,-0.01,2.030,2.650,0.32,359.23786,27.26989,3,7
2018-07-08T00:15:09.00Z,37.8351156,-121.6326071,20.552,-0.12,-0.24,-0.06,1.922,2.499,0.27,359.23786,27.27081,3,7
2018-07-08T00:15:09.20Z,37.8351151,-121.6326061,20.941,-0.10,-0.32,-0.01,1.823,2.364,0.25,359.23786,27.27192,3,7
2018-07-08T00:15:09.40Z,37.8351148,-121.6326042,21.302,-0.11,0.11,0.03,1.756,2.271,0.39,359.23786,27.27322,3,7
2018-07-08T00:15:09.60Z,37.8351146,-121.6326025,21.631,0.12,0.08,-0.05,1.679,2.165,0.42,359.23786,27.27459,3,7
2018-07-08T00:15:09.80Z,37.8351145,-121.6326010,21.960,0.11,0.05,-0.03,1.619,2.081,0.46,359.23786,27.27611,3,7
2018-07-08T00:15:10.00Z,37.8351144,-121.6325994,22.325,0.19,0.08,-0.05,1.565,2.001,0.43,359.23786,27.27752,3,8
2018-07-08T00:15:10.20Z,37.8351144,-121.6325984,22.642,0.06,-0.04,-0.02,1.530,1.948,0.44,359.23786,27.27898,3,8
2018-07-08T00:15:10.40Z,37.8351146,-121.6325974,22.908,0.05,0.00,0.09,1.499,1.901,0.38,359.23786,27.28024,3,8
2018-07-08T00:15:10.60Z,37.8351150,-121.6325965,23.173,0.02,-0.14,-0.01,1.492,1.886,0.30,359.23786,27.28123,3,7
2018-07-08T00:15:10.80Z,37.8351154,-121.6325957,23.400,-0.01,-0.06,-0.02,1.476,1.860,0.27,359.23786,27.28211,3,9
2018-07-08T00:15:11.00Z,37.8351165,-121.6325951,23.504,0.03,-0.04,0.11,1.463,1.840,0.36,359.23786,27.28331,3,9
2018-07-08T00:15:11.20Z,37.8351175,-121.6325944,23.628,0.03,-0.08,0.05,1.451,1.820,0.29,359.23786,27.28427,3,9
2018-07-08T00:15:11.40Z,37.8351187,-121.6325938,23.711,0.00,0.00,0.05,1.438,1.801,0.35,359.23786,27.28544,3,9
2018-07-08T00:15:11.60Z,37.8351196,-121.6325931,23.819,-0.03,-0.07,-0.02,1.425,1.782,0.22,359.23786,27.28615,3,9
2018-07-08T00:15:11.80Z,37.8351194,-121.6325925,23.953,-0.20,0.06,0.03,1.418,1.766,0.31,359.23786,27.28716,3,9
2018-07-08T00:15:12.00Z,37.8351190,-121.6325920,24.034,0.01,0.02,-0.03,1.410,1.750,0.31,359.23786,27.28819,3,9
2018-07-08T00:15:12.20Z,37.8351190,-121.6325916,24.064,0.07,0.00,-0.01,1.419,1.754,0.30,359.23786,27.28919,3,9
2018-07-08T00:15:12.40Z,37.8351188,-121.6325914,23.987,0.14,0.01,0.24,1.471,1.812,0.30,359.23786,27.29018,3,9
2018-07-08T00:15:12.60Z,37.8351188,-121.6325911,23.942,0.11,-0.03,0.09,1.506,1.849,0.29,359.23786,27.29112,3,9
2018-07-08T00:15:12.80Z,37.8351193,-121.6325912,23.780,-0.05,-0.04,0.10,1.548,1.898,0.31,359.23786,27.29214,3,9
2018-07-08T00:15:13.00Z,37.8351208,-121.6325914,23.531,0.00,-0.04,-0.05,1.600,1.958,0.29,359.23786,27.29309,3,9
2018-07-08T00:15:13.20Z,37.8351219,-121.6325914,23.304,-0.03,0.15,0.12,1.626,1.988,0.25,359.23786,27.29393,3,9
2018-07-08T00:15:13.38Z,37.8351228,-121.6325925,22.928,-0.03,-0.09,0.10,1.546,1.889,0.28,359.23786,27.29485,3,9
2018-07-08T00:15:13.58Z,37.8351211,-121.6325934,22.860,-0.05,-0.18,0.10,1.468,1.793,0.24,359.23786,27.29564,3,9
2018-07-08T00:15:13.80Z,37.8351202,-121.6325950,22.680,-0.21,-0.54,-0.04,1.392,1.699,0.22,309.63925,30.19915,3,9
2018-07-08T00:15:14.00Z,37.8351184,-121.6325962,22.509,-0.25,-0.01,0.06,1.318,1.614,0.31,309.63925,30.20006,3,9
2018-07-08T00:15:14.20Z,37.8351172,-121.6325970,22.325,-0.25,-0.26,0.06,1.276,1.567,0.26,282.12900,43.37176,3,9
2018-07-08T00:15:14.40Z,37.8351163,-121.6325980,22.179,0.16,-0.34,0.12,1.265,1.557,0.24,282.12900,43.37258,3,9
2018-07-08T00:15:14.60Z,37.8351155,-121.6325996,22.022,-0.13,-0.46,-0.04,1.257,1.547,0.25,266.01844,37.54862,3,9
2018-07-08T00:15:14.80Z,37.8351149,-121.6326014,21.872,0.02,-0.52,0.18,1.254,1.539,0.27,268.58388,41.92448,3,8
2018-07-08T00:15:15.00Z,37.8351145,-121.6326029,21.752,0.16,-0.44,0.20,1.253,1.532,0.29,278.67538,44.05134,3,8
2018-07-08T00:15:15.20Z,37.8351138,-121.6326045,21.696,-0.08,-0.49,-0.23,1.251,1.525,0.31,278.67538,44.05246,3,8
2018-07-08T00:15:15.40Z,37.8351135,-121.6326060,21.541,0.16,-0.31,0.30,1.252,1.520,0.33,278.67538,44.05340,3,8
2018-07-08T00:15:15.60Z,37.8351128,-121.6326072,21.475,0.04,-0.37,-0.01,1.253,1.514,0.34,278.67538,44.05415,3,7
2018-07-08T00:15:15.80Z,37.8351124,-121.6326082,21.331,-0.13,-0.16,0.29,1.255,1.511,0.35,278.67538,44.05487,3,7
2018-07-08T00:15:16.00Z,37.8351110,-121.6326086,21.248,-0.14,-0.04,0.27,1.251,1.504,0.37,278.67538,44.05562,3,7
2018-07-08T00:15:16.20Z,37.8351095,-121.6326083,21.221,0.04,0.19,0.09,1.240,1.496,0.31,278.67538,44.05626,3,7
2018-07-08T00:15:16.40Z,37.8351087,-121.6326075,21.208,0.53,0.50,0.15,1.232,1.489,0.33,13.33115,24.76590,3,7
