time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:14:54.00Z,37.8351843,-121.6315979,-201.872,0.06,-9.00,-23.10,441.330,1152.788,60.80,270.39784,21.24941,3,4
2018-07-07T22:14:54.20Z,37.8351827,-121.6315972,-197.926,0.52,-8.41,-22.07,202.218,515.108,26.73,273.52365,16.50518,3,4
2018-07-07T22:14:54.40Z,37.8351818,-121.6316101,-194.404,-0.04,-6.59,-17.76,213.064,552.402,24.06,269.61416,12.91512,3,4
2018-07-07T22:14:54.60Z,37.8351679,-121.6315846,-201.602,-0.12,-5.35,-15.98,196.640,511.095,22.42,268.73376,12.81670,3,4
2018-07-07T22:14:54.80Z,37.8351687,-121.6315376,-213.284,0.82,-1.89,-6.98,179.634,468.745,20.79,268.73376,12.83130,3,4
2018-07-07T22:14:55.00Z,37.8351674,-121.6314791,-227.385,-0.08,2.20,2.09,166.671,436.132,18.02,252.65539,40.60010,3,4
2018-07-07T22:14:55.20Z,37.8351755,-121.6314315,-239.244,0.74,5.22,10.14,155.764,408.491,18.96,81.91478,10.88711,3,4
2018-07-07T22:14:55.40Z,37.8351282,-121.6320933,-84.509,0.85,2.11,2.19,58.277,145.749,6.65,79.83962,25.86524,3,5
2018-07-07T22:14:55.60Z,37.8351165,-121.6321706,-69.865,1.49,1.84,5.21,42.911,103.518,4.77,63.59907,22.77106,3,5
2018-07-07T22:14:55.80Z,37.8351068,-121.6322067,-64.687,1.51,1.51,3.85,35.702,84.711,3.81,55.23829,25.16073,3,5
2018-07-07T22:14:56.00Z,37.8351072,-121.6322170,-62.186,0.84,0.88,2.28,32.250,74.704,3.32,52.84444,41.80218,3,5
2018-07-07T22:14:56.20Z,37.8350973,-121.6322251,-61.004,0.56,0.40,1.86,29.678,67.493,2.90,52.84444,41.80280,3,5
2018-07-07T22:14:56.40Z,37.8350161,-121.6322762,-53.165,0.37,0.51,1.58,26.650,62.040,2.60,52.84444,41.80337,3,5
2018-07-07T22:14:56.60Z,37.8349949,-121.6323110,-47.825,0.55,0.68,1.41,24.457,57.502,2.30,51.79994,40.09699,3,5
2018-07-07T22:14:56.80Z,37.8349875,-121.6323347,-42.920,0.91,0.84,1.62,21.597,50.323,1.91,45.49727,26.09199,3,5
2018-07-07T22:14:57.00Z,37.8349698,-121.6323690,-39.344,0.90,0.65,1.52,19.916,47.032,1.76,41.70705,32.26100,3,5
2018-07-07T22:14:57.20Z,37.8349512,-121.6323863,-36.167,1.15,0.66,1.80,18.925,44.987,1.66,35.42374,30.24751,3,5
2018-07-07T22:14:57.40Z,37.8349409,-121.6323948,-34.795,0.56,0.45,1.94,18.051,43.290,1.70,35.42374,30.24813,3,5
2018-07-07T22:14:57.60Z,37.8349358,-121.6323997,-33.388,0.29,0.38,1.72,17.473,41.751,1.65,35.42374,30.24866,3,5
2018-07-07T22:14:57.80Z,37.8349306,-121.6324035,-32.129,0.16,0.54,1.50,16.957,40.359,1.63,35.42374,30.24915,3,5
2018-07-07T22:14:58.00Z,37.8349251,-121.6324048,-31.701,-0.01,0.62,1.48,16.400,39.014,1.57,35.42374,30.24963,3,5
2018-07-07T22:14:58.20Z,37.8349133,-121.6324124,-30.310,0.30,0.67,1.39,15.901,37.834,1.45,49.47259,32.85896,3,5
2018-07-07T22:14:58.40Z,37.8349055,-121.6324200,-29.394,0.08,0.40,1.52,15.507,36.885,1.41,49.47259,32.85939,3,5
2018-07-07T22:14:58.60Z,37.8348924,-121.6324318,-27.665,0.15,0.56,1.52,15.093,35.988,1.37,58.95867,42.68947,3,5
2018-07-07T22:14:58.80Z,37.8348913,-121.6324321,-27.255,0.43,0.79,1.59,14.636,35.260,1.32,60.97869,24.65882,3,5
2018-07-07T22:14:59.00Z,37.8348869,-121.6324389,-25.823,0.42,0.82,1.43,14.275,34.488,1.29,61.83237,25.42885,3,5
2018-07-07T22:14:59.20Z,37.8348811,-121.6324503,-24.381,0.88,0.59,1.49,13.526,33.748,1.26,51.98133,34.47307,3,5
2018-07-07T22:14:59.40Z,37.8348857,-121.6324508,-23.743,0.74,0.52,1.46,13.268,33.176,1.30,51.98133,34.47352,3,5
2018-07-07T22:14:59.60Z,37.8348861,-121.6324512,-22.712,0.85,0.28,1.51,13.080,32.689,1.30,51.98133,34.47397,3,5
2018-07-07T22:14:59.80Z,37.8348866,-121.6324507,-21.509,0.89,0.62,1.56,12.905,32.224,1.37,45.64143,44.40974,3,5
2018-07-07T22:15:00.00Z,37.8348880,-121.6324504,-19.970,0.77,0.73,1.56,12.743,31.764,1.42,44.61691,42.01740,3,5
2018-07-07T22:15:00.20Z,37.8348925,-121.6324449,-18.793,0.87,1.22,1.53,12.581,31.346,1.33,51.85949,25.93643,3,5
2018-07-07T22:15:00.40Z,37.8348910,-121.6324446,-17.346,0.19,0.36,1.49,12.403,30.935,1.41,51.85949,25.93697,3,5
2018-07-07T22:15:00.60Z,37.8348916,-121.6324378,-16.589,0.07,0.56,1.44,12.251,30.592,1.44,51.85949,25.93750,3,5
2018-07-07T22:15:00.80Z,37.8349035,-121.6324121,-18.105,0.49,0.71,1.31,11.710,29.512,1.34,51.85949,25.93805,3,6
2018-07-07T22:15:01.00Z,37.8349189,-121.6323763,-20.342,0.26,0.89,1.25,10.987,28.563,1.34,58.81579,37.82407,3,6
2018-07-07T22:15:01.20Z,37.8349213,-121.6323710,-19.895,0.60,0.38,1.43,10.692,27.695,1.29,58.81579,37.82445,3,6
2018-07-07T22:15:01.40Z,37.8349311,-121.6323540,-20.636,0.51,0.60,1.45,10.275,26.455,1.29,58.81579,37.82484,3,6
2018-07-07T22:15:01.60Z,37.8349374,-121.6323427,-19.642,0.43,0.85,1.32,9.998,25.740,1.26,60.92176,38.56389,3,6
2018-07-07T22:15:01.80Z,37.8349451,-121.6323282,-18.744,0.23,0.73,1.23,9.691,25.073,1.27,65.75661,44.74112,3,6
2018-07-07T22:15:02.00Z,37.8349655,-121.6323032,-19.048,0.30,0.87,1.19,9.337,24.480,1.23,68.69583,37.90491,3,6
2018-07-07T22:15:02.20Z,37.8349668,-121.6323053,-17.328,-0.01,0.16,1.04,9.143,23.937,1.24,68.69583,37.90521,3,6
2018-07-07T22:15:02.40Z,37.8349784,-121.6323008,-16.103,0.25,0.34,0.86,8.706,22.848,1.23,68.69583,37.90550,3,6
2018-07-07T22:15:02.60Z,37.8349768,-121.6323093,-13.058,0.14,0.01,0.86,8.393,21.899,1.16,68.69583,37.90578,3,6
2018-07-07T22:15:02.80Z,37.8349777,-121.6323120,-10.918,0.25,0.33,0.84,8.137,21.142,1.16,68.69583,37.90605,3,6
2018-07-07T22:15:03.00Z,37.8349827,-121.6323115,-10.137,0.26,-0.18,0.80,8.005,20.785,1.03,68.69583,37.90629,3,6
2018-07-07T22:15:03.20Z,37.8349888,-121.6323108,-9.577,0.33,-0.37,0.69,7.897,20.489,0.90,68.69583,37.90651,3,6
2018-07-07T22:15:03.40Z,37.8349953,-121.6323112,-9.129,0.58,-0.50,0.59,7.814,20.248,0.77,68.69583,37.90674,3,6
2018-07-07T22:15:03.60Z,37.8350007,-121.6323100,-8.347,0.92,0.06,0.50,7.740,20.017,0.88,68.69583,37.90699,3,6
