time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T17:01:36.60Z,37.8343946,-121.6316097,-587.337,-9.09,9.45,77.67,248.343,1240.358,67.25,133.91587,8.88553,3,4
2018-07-07T17:01:36.80Z,37.8344536,-121.6316191,-563.595,-8.92,9.84,78.20,166.990,814.075,45.85,132.17873,11.76610,3,4
2018-07-07T17:01:37.00Z,37.8344936,-121.6316774,-524.752,-8.07,9.71,70.64,160.737,810.179,38.29,129.75988,7.89946,3,4
2018-07-07T17:01:37.20Z,37.8345313,-121.6317487,-482.883,-7.52,8.40,63.08,140.904,718.938,34.63,131.80892,7.00048,3,4
2018-07-07T17:01:37.40Z,37.8345670,-121.6318033,-452.396,-6.70,8.03,57.14,128.740,660.661,32.08,129.82162,7.10855,3,4
2018-07-07T17:01:37.60Z,37.8345982,-121.6318526,-418.640,-6.05,8.08,53.44,118.571,607.418,29.94,126.79808,7.17007,3,4
2018-07-07T17:01:37.80Z,37.8346354,-121.6319142,-379.858,-5.54,7.40,48.71,110.683,566.075,28.07,126.81653,7.83600,3,4
2018-07-07T17:01:38.00Z,37.8346683,-121.6319684,-352.261,-5.31,6.59,43.48,105.595,542.897,26.40,128.85932,7.84642,3,4
2018-07-07T17:01:38.20Z,37.8347059,-121.6320381,-317.656,-4.68,6.48,40.26,100.187,513.728,24.81,125.88083,7.89672,3,4
2018-07-07T17:01:38.40Z,37.8347370,-121.6321042,-289.425,-4.21,5.62,35.75,95.514,489.378,23.29,126.86824,8.26616,3,4
2018-07-07T17:01:38.60Z,37.8347636,-121.6321513,-270.190,-3.81,5.39,32.40,91.274,467.165,21.89,125.24130,8.74092,3,4
2018-07-07T17:01:38.80Z,37.8347944,-121.6322098,-245.775,-3.43,4.48,28.43,87.498,447.646,20.65,127.44644,9.79882,3,4
2018-07-07T17:01:39.00Z,37.8348115,-121.6322441,-233.200,-3.08,4.51,26.16,84.308,431.188,19.53,124.27333,10.55053,3,4
2018-07-07T17:01:39.20Z,37.8350590,-121.6326470,-8.668,-0.56,0.99,5.98,35.303,179.000,10.71,124.27333,10.55966,3,5
2018-07-07T17:01:39.40Z,37.8350765,-121.6326818,5.055,-0.52,3.01,6.21,27.381,137.977,8.28,119.82240,22.43666,3,5
2018-07-07T17:01:39.60Z,37.8350927,-121.6327137,17.753,0.02,0.01,0.19,20.201,87.891,4.52,119.82240,22.43847,3,6
2018-07-07T17:01:39.80Z,37.8350993,-121.6327270,20.544,-0.09,-0.01,0.11,17.576,69.361,2.92,119.82240,22.43964,3,6
2018-07-07T17:01:40.00Z,37.8351078,-121.6327404,24.858,0.05,-0.57,-0.47,16.087,59.155,2.51,119.82240,22.44065,3,6
2018-07-07T17:01:40.20Z,37.8351117,-121.6327484,25.382,0.03,-0.27,-0.49,15.052,52.525,2.68,119.82240,22.44173,3,6
2018-07-07T17:01:40.40Z,37.8351117,-121.6327493,20.111,0.01,-0.03,-0.60,14.144,46.137,2.42,119.82240,22.44270,3,7
2018-07-07T17:01:40.60Z,37.8351128,-121.6327509,16.034,0.15,-0.09,-0.78,13.407,41.626,2.23,119.82240,22.44359,3,7
2018-07-07T17:01:40.80Z,37.8351143,-121.6327529,12.284,0.17,0.06,-0.47,12.773,37.878,1.87,119.82240,22.44434,3,7
2018-07-07T17:01:41.00Z,37.8351173,-121.6327526,11.684,0.18,0.38,-0.42,12.254,35.010,1.23,119.82240,22.44484,3,7
2018-07-07T17:01:41.20Z,37.8351202,-121.6327547,11.117,0.03,0.29,-0.26,11.771,32.616,1.01,119.82240,22.44525,3,7
2018-07-07T17:01:41.40Z,37.8351221,-121.6327559,9.940,-0.06,0.32,-0.03,11.341,30.638,0.76,119.82240,22.44555,3,7
2018-07-07T17:01:41.60Z,37.8351234,-121.6327577,8.340,-0.04,0.28,-0.02,10.951,28.875,0.78,119.82240,22.44586,3,7
2018-07-07T17:01:41.80Z,37.8351253,-121.6327605,7.640,0.11,-0.04,-0.22,10.593,27.350,1.36,119.82240,22.44641,3,7
2018-07-07T17:01:42.00Z,37.8351278,-121.6327638,6.943,0.15,-0.25,-0.47,10.277,26.039,1.34,119.82240,22.44695,3,7
2018-07-07T17:01:42.20Z,37.8351300,-121.6327653,6.422,0.16,-0.04,-0.50,9.981,24.899,1.24,119.82240,22.44745,3,7
2018-07-07T17:01:42.40Z,37.8351323,-121.6327672,6.003,0.04,0.02,-0.58,9.713,23.915,1.19,119.82240,22.44792,3,7
2018-07-07T17:01:42.60Z,37.8351354,-121.6327681,5.354,0.08,0.26,-0.51,9.453,23.044,0.96,119.82240,22.44831,3,7
2018-07-07T17:01:42.80Z,37.8351371,-121.6327702,4.494,-0.02,0.30,-0.54,9.216,22.250,0.91,119.82240,22.44867,3,7
