time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:14:55.60Z,37.8351293,-121.6318167,-74.573,-2.16,60.24,59.69,3139.395,2958.739,304.06,92.05261,4.29552,3,4
2018-07-07T22:14:55.80Z,37.8351845,-121.6327321,0.201,0.61,-0.45,-1.45,70.099,102.463,5.87,92.05261,4.41674,3,5
2018-07-07T22:14:56.00Z,37.8351715,-121.6326203,-7.177,0.70,-0.07,-0.47,56.383,87.062,2.43,92.05261,4.46591,3,6
2018-07-07T22:14:56.20Z,37.8351701,-121.6326059,-8.871,0.57,0.15,-0.79,45.259,71.386,2.36,92.05261,4.51329,3,6
2018-07-07T22:14:56.40Z,37.8351775,-121.6325997,-10.543,0.55,-0.66,-0.81,38.935,61.957,2.68,92.05261,4.56636,3,6
2018-07-07T22:14:56.60Z,37.8351809,-121.6325968,-11.755,0.45,-0.54,-0.41,34.808,56.219,2.29,92.05261,4.61118,3,6
2018-07-07T22:14:56.80Z,37.8351805,-121.6326041,-10.750,0.30,0.38,-0.97,31.885,51.385,2.08,92.05261,4.65160,3,6
2018-07-07T22:14:57.00Z,37.8351807,-121.6326102,-9.300,-0.37,-0.02,-0.75,29.533,47.501,2.51,92.05261,4.69993,3,6
2018-07-07T22:14:57.20Z,37.8351793,-121.6326074,-9.247,-0.38,0.34,-0.84,27.306,43.877,2.06,92.05261,4.73915,3,6
2018-07-07T22:14:57.40Z,37.8351767,-121.6326121,-7.530,-0.02,-0.15,-0.73,25.328,40.689,2.34,92.05261,4.78333,3,6
2018-07-07T22:14:57.60Z,37.8351655,-121.6326175,-4.689,-0.21,0.04,-0.70,23.335,37.629,2.09,92.05261,4.82255,3,6
2018-07-07T22:14:57.80Z,37.8351473,-121.6326216,-1.796,-0.01,0.58,-0.71,21.748,35.338,1.42,92.05261,4.84893,3,6
2018-07-07T22:14:58.00Z,37.8351124,-121.6326433,3.942,0.27,0.19,-0.21,20.015,33.032,1.37,92.05261,4.87423,3,6
2018-07-07T22:14:58.20Z,37.8350934,-121.6326535,6.578,0.29,0.28,-0.12,18.730,31.304,1.17,92.05261,4.89582,3,6
2018-07-07T22:14:58.40Z,37.8350793,-121.6326619,8.770,-0.16,0.22,0.06,17.673,29.905,1.39,92.05261,4.92124,3,6
2018-07-07T22:14:58.60Z,37.8350763,-121.6326654,9.915,0.11,0.13,0.02,16.914,28.759,1.17,92.05261,4.94256,3,6
2018-07-07T22:14:58.80Z,37.8350774,-121.6326668,10.635,0.01,0.51,-0.26,16.255,27.695,0.97,92.05261,4.96024,3,6
2018-07-07T22:14:59.00Z,37.8350797,-121.6326685,11.617,-0.03,0.60,-0.26,15.662,26.778,0.92,92.05261,4.97691,3,6
2018-07-07T22:14:59.20Z,37.8350835,-121.6326712,12.443,0.31,0.58,-0.05,15.161,25.999,1.10,92.05261,4.99675,3,6
2018-07-07T22:14:59.40Z,37.8350831,-121.6326758,13.507,0.05,0.30,0.14,14.720,25.266,1.42,92.05261,5.02228,3,6
2018-07-07T22:14:59.60Z,37.8350834,-121.6326792,14.681,0.07,0.32,-0.15,14.224,24.657,0.89,92.05261,5.03817,3,6
2018-07-07T22:14:59.80Z,37.8350794,-121.6326836,15.306,0.10,0.14,0.03,13.791,24.064,1.00,92.05261,5.05596,3,6
2018-07-07T22:15:00.00Z,37.8350766,-121.6326867,15.440,-0.22,0.03,0.05,13.450,23.505,1.06,92.05261,5.07476,3,6
2018-07-07T22:15:00.20Z,37.8350752,-121.6326879,15.264,-0.32,-0.06,0.50,13.172,22.994,1.70,92.05261,5.10478,3,6
2018-07-07T22:15:00.40Z,37.8350737,-121.6326879,14.763,0.21,0.07,0.87,12.934,22.541,1.70,92.05261,5.13469,3,6
2018-07-07T22:15:00.60Z,37.8350690,-121.6326920,14.680,0.22,0.13,0.95,12.678,22.114,1.72,92.05261,5.16483,3,6
2018-07-07T22:15:00.80Z,37.8350692,-121.6326933,14.365,1.29,-0.43,0.97,12.439,21.660,1.30,92.05261,5.19386,3,6
2018-07-07T22:15:01.00Z,37.8350688,-121.6326940,13.928,0.51,0.04,0.92,12.190,21.226,1.54,92.05261,5.22043,3,6
2018-07-07T22:15:01.20Z,37.8350687,-121.6326956,13.850,-0.17,0.26,0.72,11.964,20.833,1.69,92.05261,5.24942,3,6
2018-07-07T22:15:01.40Z,37.8350672,-121.6326954,13.610,-0.41,0.17,0.38,11.671,20.215,1.51,92.05261,5.27525,3,6
2018-07-07T22:15:01.60Z,37.8350667,-121.6326947,13.230,0.20,-0.23,0.58,11.525,19.929,1.52,92.05261,5.30112,3,6
2018-07-07T22:15:01.80Z,37.8350658,-121.6326903,12.950,-0.37,0.30,0.23,11.353,19.614,1.29,92.05261,5.32295,3,6
