time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:18:00.20Z,37.8348611,-121.6323880,13.308,-0.79,-0.07,-0.60,10.577,31.355,1.70,185.30307,39.77500,3,4
2018-07-07T22:18:00.40Z,37.8348424,-121.6323707,17.303,-0.59,0.50,-0.51,9.808,14.190,0.79,159.98904,35.28638,3,4
2018-07-07T22:18:00.60Z,37.8348238,-121.6323656,19.018,-0.50,0.65,-0.49,10.515,15.993,0.70,142.49973,32.89636,3,4
2018-07-07T22:18:00.80Z,37.8348218,-121.6323660,19.293,-0.26,0.64,-0.42,9.884,15.307,0.89,142.49973,32.89660,3,4
2018-07-07T22:18:01.00Z,37.8348197,-121.6323644,20.203,-0.50,0.99,-0.42,8.506,14.366,0.79,130.93254,36.46510,3,4
2018-07-07T22:18:01.20Z,37.8348176,-121.6323654,20.314,-0.49,0.79,-0.33,7.566,13.716,0.51,125.80596,32.18955,3,4
2018-07-07T22:18:01.40Z,37.8348152,-121.6323648,19.702,-0.37,1.04,-0.29,6.653,13.051,0.49,117.11232,29.99140,3,4
2018-07-07T22:18:01.60Z,37.8348145,-121.6323618,19.527,-0.27,1.10,-0.24,6.000,12.330,0.50,110.84555,32.04632,3,4
2018-07-07T22:18:01.80Z,37.8348148,-121.6323586,19.689,0.15,1.11,-0.08,5.594,12.046,0.39,98.68705,37.39306,3,4
2018-07-07T22:18:02.00Z,37.8348154,-121.6323544,19.782,0.08,1.40,-0.02,5.206,11.745,0.36,89.95106,21.98482,3,4
2018-07-07T22:18:02.20Z,37.8348164,-121.6323545,17.977,-0.31,1.20,-0.09,4.830,11.091,0.58,95.91032,26.75618,3,4
2018-07-07T22:18:02.40Z,37.8348156,-121.6323521,18.232,-0.37,0.92,-0.55,4.738,10.937,0.82,95.91032,26.75657,3,4
2018-07-07T22:18:02.60Z,37.8348143,-121.6323494,18.107,-0.58,1.04,-0.50,4.638,10.810,0.83,102.57706,42.24481,3,4
2018-07-07T22:18:02.80Z,37.8348141,-121.6323469,17.731,-0.14,1.09,-0.42,4.542,10.613,0.91,99.49550,36.00128,3,4
2018-07-07T22:18:03.00Z,37.8348122,-121.6323452,16.212,0.43,1.14,-0.16,4.433,10.405,0.95,80.61768,28.03818,3,4
2018-07-07T22:18:03.20Z,37.8348133,-121.6323424,15.977,0.36,1.32,-0.15,4.374,10.306,0.85,77.87744,29.10264,3,4
2018-07-07T22:18:03.40Z,37.8348133,-121.6323404,15.749,0.23,0.94,-0.24,4.342,10.182,0.82,77.47872,44.34024,3,4
2018-07-07T22:18:03.60Z,37.8348141,-121.6323384,15.724,0.45,0.95,-0.23,4.252,9.802,1.04,69.21053,32.85371,3,4
2018-07-07T22:18:03.80Z,37.8348139,-121.6323383,15.383,-0.12,0.74,-0.07,4.154,9.443,0.83,69.21053,32.85394,3,4
2018-07-07T22:18:04.00Z,37.8348148,-121.6323332,15.456,-0.24,1.03,-0.19,4.047,9.274,0.76,84.94980,35.51063,3,4
2018-07-07T22:18:04.20Z,37.8348137,-121.6323254,16.184,-0.21,1.45,-0.07,3.943,9.125,0.73,93.65315,25.77589,3,4
2018-07-07T22:18:04.40Z,37.8348130,-121.6323195,16.738,-0.24,1.29,-0.15,3.848,9.030,0.71,96.59360,29.51018,3,4
2018-07-07T22:18:04.60Z,37.8348108,-121.6323152,17.387,-0.38,1.14,-0.19,3.783,8.802,0.71,101.85560,32.27214,3,4
2018-07-07T22:18:04.80Z,37.8348114,-121.6323119,17.444,-0.59,1.20,-0.06,3.714,8.665,0.55,110.52269,26.15455,3,4
2018-07-07T22:18:05.00Z,37.8348114,-121.6323042,18.263,-0.80,1.21,-0.09,3.615,8.536,0.53,117.12581,25.65004,3,4
2018-07-07T22:18:05.20Z,37.8348121,-121.6322943,19.742,-0.39,1.15,-0.20,3.504,8.312,0.56,113.05283,27.02987,3,4
2018-07-07T22:18:05.40Z,37.8348102,-121.6322890,20.537,-0.23,1.50,-0.09,3.463,8.103,0.79,103.69131,19.77814,3,4
2018-07-07T22:18:05.60Z,37.8348099,-121.6322830,21.410,0.15,1.14,-0.26,3.415,7.948,0.78,91.44581,16.78566,3,4
2018-07-07T22:18:05.80Z,37.8348087,-121.6322781,21.466,-0.10,1.41,-0.15,3.379,7.804,0.66,92.77522,16.52929,3,4
2018-07-07T22:18:06.00Z,37.8348066,-121.6322756,21.775,-0.54,0.93,-0.18,3.375,7.766,0.61,97.15342,37.80158,3,4
2018-07-07T22:18:06.20Z,37.8348047,-121.6322725,21.945,-0.48,0.88,-0.20,3.366,7.674,0.65,97.15342,37.80183,3,4
2018-07-07T22:18:06.40Z,37.8348035,-121.6322694,21.882,-0.67,1.10,-0.08,3.364,7.605,0.72,110.67947,33.85618,3,4
2018-07-07T22:18:06.60Z,37.8348036,-121.6322662,21.895,-0.13,1.21,0.11,3.382,7.595,0.80,110.67947,33.85650,3,4
2018-07-07T22:18:06.80Z,37.8348031,-121.6322645,21.969,-0.25,0.73,0.00,3.374,7.519,0.68,110.67947,33.85671,3,4
2018-07-07T22:18:07.00Z,37.8348034,-121.6322587,22.179,-0.17,0.90,-0.15,3.342,7.400,0.62,105.53698,33.33236,3,4
2018-07-07T22:18:07.20Z,37.8348017,-121.6322529,22.587,-0.24,1.13,-0.14,3.298,7.261,0.58,103.31554,24.07810,3,4
2018-07-07T22:18:07.40Z,37.8348005,-121.6322487,23.010,-0.49,1.09,-0.22,3.279,7.212,0.58,108.23138,26.44570,3,4
2018-07-07T22:18:07.60Z,37.8348001,-121.6322456,23.414,-0.16,0.85,-0.33,3.261,7.143,0.71,104.67266,28.39959,3,4
2018-07-07T22:18:07.80Z,37.8348016,-121.6322431,23.087,-0.04,1.18,-0.25,3.234,7.006,0.71,95.32888,17.12191,3,4
2018-07-07T22:18:08.00Z,37.8348005,-121.6322395,23.027,-0.46,1.28,-0.19,3.209,6.866,0.61,100.22530,23.96024,3,4
2018-07-07T22:18:08.20Z,37.8347993,-121.6322357,23.103,-0.37,1.07,-0.28,3.188,6.735,0.63,103.93239,28.15403,3,4
2018-07-07T22:18:08.40Z,37.8347973,-121.6322322,23.475,-0.50,0.99,-0.19,3.171,6.633,0.56,109.48010,31.79190,3,4
2018-07-07T22:18:08.60Z,37.8347965,-121.6322271,23.775,-0.53,1.13,-0.20,3.141,6.520,0.50,112.98651,25.10420,3,4
2018-07-07T22:18:08.80Z,37.8347955,-121.6322218,24.272,-0.59,1.05,-0.27,3.103,6.407,0.46,116.08912,25.06070,3,4
2018-07-07T22:18:09.00Z,37.8347949,-121.6322175,24.536,-0.39,1.20,-0.19,3.086,6.368,0.57,111.77883,24.13049,3,4
2018-07-07T22:18:09.20Z,37.8347939,-121.6322133,24.819,-0.14,1.58,-0.12,3.104,6.360,0.93,103.94646,25.44129,3,4
2018-07-07T22:18:09.40Z,37.8347926,-121.6322115,25.135,-0.26,0.81,-0.19,3.120,6.359,0.86,104.91994,44.77857,3,4
2018-07-07T22:18:09.60Z,37.8347913,-121.6322111,25.313,-0.37,0.58,-0.06,3.134,6.350,0.69,104.91994,44.77870,3,4
2018-07-07T22:18:09.80Z,37.8347912,-121.6322082,25.475,-0.23,0.85,-0.01,3.115,6.342,0.71,105.06273,42.96777,3,4
