time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-08T00:17:53.20Z,37.8352451,-121.6327838,-207.726,0.86,-1.32,-0.29,73.808,176.530,1.65,0.00000,102.97462,3,4
2018-07-08T00:17:54.00Z,37.8352763,-121.6327811,-199.136,0.14,0.12,-0.58,43.313,85.959,3.16,0.00000,102.97536,3,4
2018-07-08T00:17:54.20Z,37.8352789,-121.6327762,-189.098,-0.46,0.30,-0.03,39.320,79.897,1.22,0.00000,102.97546,3,4
2018-07-08T00:17:56.40Z,37.8352615,-121.6327237,-150.439,-0.22,1.33,-0.27,32.962,56.721,3.28,0.00000,102.97814,3,4
2018-07-08T00:17:56.60Z,37.8352689,-121.6327017,-144.952,-0.01,1.48,-0.19,32.552,55.146,3.04,0.00000,102.97840,3,4
2018-07-08T00:17:56.80Z,37.8352717,-121.6326814,-138.807,-0.08,1.69,-0.36,32.201,53.742,2.94,0.00000,102.97866,3,4
2018-07-08T00:17:57.00Z,37.8352733,-121.6326664,-132.832,-0.03,1.63,-0.64,31.886,52.437,3.01,0.00000,102.97892,3,4
2018-07-08T00:17:57.20Z,37.8352748,-121.6326543,-129.109,-0.06,1.35,-0.63,31.589,51.275,2.99,0.00000,102.97920,3,4
2018-07-08T00:17:57.40Z,37.8351933,-121.6327897,-117.814,-0.03,0.09,-0.36,27.019,47.799,2.62,0.00000,102.97942,3,5
2018-07-08T00:17:57.60Z,37.8351215,-121.6328494,-100.663,0.23,-0.14,-0.63,23.099,43.809,2.01,0.00000,102.97960,3,7
2018-07-08T00:17:57.80Z,37.8350866,-121.6328571,-88.355,0.52,0.48,-1.25,20.520,40.978,2.02,0.00000,102.97978,3,7
2018-07-08T00:17:58.00Z,37.8350682,-121.6328569,-79.858,0.69,0.61,-1.63,18.781,38.768,1.92,0.00000,102.97994,3,7
2018-07-08T00:17:58.20Z,37.8350591,-121.6328526,-73.494,1.13,0.94,-1.80,17.420,36.990,1.75,33.58827,43.66861,3,7
2018-07-08T00:17:58.40Z,37.8350498,-121.6328481,-68.107,1.01,1.22,-1.83,16.400,35.530,1.71,42.47726,41.04110,3,7
2018-07-08T00:17:58.60Z,37.8350445,-121.6328413,-64.313,0.64,1.61,-1.68,15.542,34.319,1.63,56.83145,36.92802,3,7
2018-07-08T00:17:58.80Z,37.8350436,-121.6328311,-61.769,0.27,1.50,-1.45,14.790,33.162,1.57,67.11073,40.84518,3,7
2018-07-08T00:17:59.00Z,37.8350446,-121.6328177,-59.409,0.16,1.18,-1.43,14.135,32.181,1.61,67.11073,40.84559,3,7
2018-07-08T00:17:59.20Z,37.8350461,-121.6328040,-57.468,0.11,1.31,-1.35,13.513,31.276,1.55,67.11073,40.84601,3,7
2018-07-08T00:17:59.40Z,37.8350469,-121.6327995,-56.118,0.23,0.90,-1.22,12.873,30.510,1.59,67.11073,40.84636,3,8
2018-07-08T00:17:59.60Z,37.8350480,-121.6327894,-54.206,0.40,0.99,-1.22,12.163,29.619,1.50,67.11073,40.84672,3,8
2018-07-08T00:17:59.80Z,37.8350504,-121.6327797,-52.623,0.55,0.86,-1.29,11.568,28.830,1.49,67.11073,40.84708,3,8
2018-07-08T00:18:00.00Z,37.8350522,-121.6327710,-51.742,0.36,0.62,-1.24,11.070,28.106,1.52,67.11073,40.84742,3,8
2018-07-08T00:18:00.20Z,37.8350552,-121.6327602,-50.393,0.37,0.72,-1.38,10.652,27.465,1.48,67.11073,40.84777,3,8
2018-07-08T00:18:00.40Z,37.8350580,-121.6327518,-49.513,0.39,0.74,-1.38,10.310,26.925,1.45,67.11073,40.84813,3,8
2018-07-08T00:18:00.60Z,37.8350600,-121.6327434,-48.249,0.57,0.69,-1.39,10.018,26.426,1.46,67.11073,40.84849,3,8
2018-07-08T00:18:00.80Z,37.8350599,-121.6327317,-44.062,0.06,0.67,-1.33,9.801,25.604,1.39,67.11073,40.84882,3,9
2018-07-08T00:18:01.00Z,37.8350613,-121.6327247,-43.140,-0.12,0.78,-1.41,9.612,25.260,1.38,67.11073,40.84917,3,8
2018-07-08T00:18:01.20Z,37.8350615,-121.6327135,-39.733,-0.35,0.78,-1.41,9.424,24.602,1.36,67.11073,40.84954,3,9
2018-07-08T00:18:01.40Z,37.8350630,-121.6327059,-37.371,-0.45,0.51,-1.29,9.284,24.055,1.38,67.11073,40.84986,3,8
2018-07-08T00:18:01.60Z,37.8350645,-121.6326977,-34.709,-0.37,0.56,-1.24,9.153,23.473,1.36,67.11073,40.85017,3,8
2018-07-08T00:18:01.80Z,37.8350667,-121.6326898,-31.912,-0.06,0.64,-1.23,9.030,22.895,1.35,67.11073,40.85047,3,8
2018-07-08T00:18:02.00Z,37.8350674,-121.6326854,-29.937,-0.19,0.28,-1.12,8.918,22.390,1.32,67.11073,40.85076,3,8
2018-07-08T00:18:02.20Z,37.8350682,-121.6326819,-28.374,-0.26,0.07,-1.02,8.814,21.928,1.28,67.11073,40.85105,3,8
2018-07-08T00:18:02.40Z,37.8350689,-121.6326793,-26.991,-0.31,-0.06,-0.93,8.715,21.494,1.24,67.11073,40.85132,3,8
2018-07-08T00:18:02.60Z,37.8350692,-121.6326733,-25.092,-0.10,0.22,-0.92,8.603,21.061,1.25,67.11073,40.85160,3,9
2018-07-08T00:18:02.80Z,37.8350682,-121.6326666,-23.098,-0.37,0.33,-1.02,8.493,20.666,1.21,67.11073,40.85186,3,9
2018-07-08T00:18:03.00Z,37.8350680,-121.6326601,-21.746,-0.32,0.62,-0.97,8.390,20.280,1.19,67.11073,40.85212,3,9
2018-07-08T00:18:03.20Z,37.8350682,-121.6326550,-20.588,-0.20,0.52,-0.92,8.293,19.937,1.18,67.11073,40.85238,3,9
2018-07-08T00:18:03.40Z,37.8350671,-121.6326487,-19.473,-0.44,0.86,-0.93,8.205,19.625,1.14,67.11073,40.85267,3,9
