time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:14:45.40Z,37.8347875,-121.6324904,5.643,-2.54,55.99,52.87,18019.974,16946.840,350.16,92.59644,3.98672,3,4
2018-07-07T22:14:45.60Z,37.8348166,-121.6326458,32.952,-2.79,50.98,47.89,128.154,93.837,228.63,92.76041,3.45284,3,4
2018-07-07T22:14:45.78Z,37.8347893,-121.6326927,32.881,-2.75,46.24,43.32,108.418,78.492,157.59,93.00365,2.85635,3,4
2018-07-07T22:14:45.99Z,37.8348277,-121.6327618,32.200,-2.57,45.71,42.60,101.026,72.409,117.82,93.08889,2.36764,3,4
2018-07-07T22:14:46.19Z,37.8349046,-121.6328141,32.137,-2.48,45.15,42.00,82.558,59.208,90.13,93.10803,2.04465,3,4
2018-07-07T22:14:46.40Z,37.8348961,-121.6328155,32.032,-2.30,45.31,41.99,74.453,53.059,69.68,93.03132,1.80375,3,4
2018-07-07T22:14:46.61Z,37.8348863,-121.6327680,32.072,-2.16,45.35,41.93,68.260,48.458,54.27,92.91680,1.65237,3,4
2018-07-07T22:14:46.80Z,37.8349424,-121.6327899,32.112,-1.97,45.49,41.92,64.526,45.616,42.48,92.75579,1.55640,3,4
2018-07-07T22:14:47.00Z,37.8349373,-121.6327592,32.162,-1.75,45.66,41.87,60.649,42.769,33.39,92.55394,1.50824,3,4
2018-07-07T22:14:47.19Z,37.8348544,-121.6327359,32.182,-1.54,45.77,41.83,56.444,39.737,26.40,92.33175,1.48693,3,4
2018-07-07T22:14:47.39Z,37.8348613,-121.6327318,32.268,-1.26,45.90,41.79,54.808,38.450,20.92,92.06629,1.47119,3,4
2018-07-07T22:14:47.60Z,37.8348536,-121.6327475,32.318,-1.01,46.23,41.91,52.526,36.771,20.80,91.77663,1.46286,3,4
2018-07-07T22:14:47.80Z,37.8348326,-121.6327698,32.319,-0.80,46.53,42.05,49.266,34.476,20.74,91.49723,1.45441,3,4
2018-07-07T22:14:48.00Z,37.8348618,-121.6328342,32.377,-0.73,46.73,42.18,47.812,33.389,20.71,91.28427,1.44966,3,4
2018-07-07T22:14:48.20Z,37.8348919,-121.6327145,12.919,1.04,2.33,0.80,26.568,21.232,3.72,91.28427,1.46616,3,5
2018-07-07T22:14:48.40Z,37.8348944,-121.6326335,5.202,1.18,1.19,-0.38,26.099,20.750,1.47,91.28427,1.47680,3,5
2018-07-07T22:14:48.60Z,37.8349224,-121.6326831,5.499,1.40,0.81,-0.91,25.308,20.025,1.61,91.28427,1.48800,3,5
2018-07-07T22:14:48.80Z,37.8349258,-121.6326736,10.933,1.42,-0.79,-2.22,24.821,19.599,2.74,91.28427,1.50454,3,5
2018-07-07T22:14:49.00Z,37.8348907,-121.6326614,10.033,1.52,-1.72,-3.05,25.398,20.243,2.67,91.05872,1.52587,3,5
2018-07-07T22:14:49.20Z,37.8349533,-121.6326906,14.036,1.59,-2.75,-3.86,26.496,21.357,2.55,90.59421,1.55237,3,5
2018-07-07T22:14:49.40Z,37.8349474,-121.6327100,19.607,1.77,-3.41,-4.47,36.728,29.665,2.43,89.85368,1.58201,3,5
2018-07-07T22:14:49.59Z,37.8349335,-121.6327412,20.062,1.94,-3.44,-4.69,33.827,27.041,2.34,89.04386,1.61216,3,5
2018-07-07T22:14:49.80Z,37.8349578,-121.6327334,17.550,2.04,-3.46,-4.84,26.165,20.992,2.26,88.21820,1.64266,3,5
2018-07-07T22:14:50.00Z,37.8349648,-121.6327581,18.955,2.19,-3.41,-4.97,28.736,23.011,2.20,87.36586,1.67304,3,5
2018-07-07T22:14:50.19Z,37.8349426,-121.6327238,15.514,2.37,-3.36,-5.07,30.996,24.185,2.15,86.45943,1.70238,3,5
2018-07-07T22:14:50.40Z,37.8349375,-121.6326981,14.654,2.47,-2.21,-4.90,35.752,27.588,2.06,85.87456,1.72989,3,5
2018-07-07T22:14:50.60Z,37.8349350,-121.6326688,13.395,2.46,-1.38,-4.74,40.405,30.932,1.95,85.49584,1.75558,3,5
2018-07-07T22:14:50.80Z,37.8349356,-121.6326293,12.587,2.46,-0.73,-4.59,46.986,36.192,1.84,85.23934,1.78011,3,5
2018-07-07T22:14:51.00Z,37.8349361,-121.6326417,16.862,2.53,-0.15,-4.49,46.993,36.185,1.72,85.05131,1.80395,3,5
2018-07-07T22:14:51.20Z,37.8349379,-121.6326358,17.548,2.31,-0.52,-4.65,48.338,36.218,1.74,84.83988,1.82768,3,5
2018-07-07T22:14:51.40Z,37.8349312,-121.6326566,21.087,2.24,-0.79,-4.79,53.802,40.550,1.75,84.58008,1.85152,3,5
2018-07-07T22:14:51.60Z,37.8349384,-121.6326515,21.772,2.24,-0.96,-4.93,57.584,41.516,1.75,84.28068,1.87547,3,5
2018-07-07T22:14:51.80Z,37.8349623,-121.6326979,32.470,2.37,-0.80,-5.02,97.689,68.082,1.72,84.04329,1.90027,3,4
2018-07-07T22:14:53.57Z,37.8349438,-121.6325368,32.511,2.33,-1.04,-4.96,79.796,55.495,2.08,84.04327,2.11379,3,4
2018-07-07T22:14:53.77Z,37.8349258,-121.6325222,32.575,1.98,-1.31,-4.90,68.032,47.219,2.07,84.04327,2.13685,3,4
2018-07-07T22:14:54.00Z,37.8349330,-121.6325142,32.599,2.02,-1.77,-4.82,62.318,43.206,2.21,84.04327,2.16297,3,4
2018-07-07T22:14:54.20Z,37.8349451,-121.6325263,32.584,2.51,-2.54,-4.69,62.370,43.244,2.42,83.57489,2.18326,3,4
2018-07-07T22:14:54.40Z,37.8349521,-121.6325384,32.614,2.37,-2.45,-4.71,57.154,39.605,2.41,83.12257,2.20300,3,4
2018-07-07T22:14:54.60Z,37.8349512,-121.6325242,32.361,2.68,-2.71,-4.66,59.421,41.456,2.48,82.53573,2.22239,3,4
2018-07-07T22:14:54.80Z,37.8349391,-121.6325162,32.343,3.17,-3.25,-4.59,59.612,41.589,2.59,81.67675,2.24071,3,4
2018-07-07T22:14:55.00Z,37.8349406,-121.6325164,32.146,3.62,-3.61,-4.52,62.908,44.116,2.65,80.59626,2.25801,3,4
2018-07-07T22:14:55.20Z,37.8349534,-121.6325429,32.157,3.47,-3.38,-4.55,63.146,44.283,2.64,79.64204,2.27560,3,4
2018-07-07T22:14:55.40Z,37.8349548,-121.6325583,32.211,3.55,-3.65,-4.51,67.696,47.429,2.70,78.55052,2.29245,3,4
2018-07-07T22:14:55.60Z,37.8349477,-121.6327896,40.691,3.57,-3.61,-4.46,48.099,39.057,2.47,77.03704,2.30463,3,5
2018-07-07T22:14:55.80Z,37.8349510,-121.6327925,41.302,3.63,-3.51,-4.42,48.028,39.037,2.35,75.31282,2.31417,3,5
2018-07-07T22:14:56.00Z,37.8349433,-121.6328021,42.998,2.99,-4.15,-4.61,57.432,45.976,2.29,73.25017,2.32235,3,5
2018-07-07T22:14:56.20Z,37.8349476,-121.6327957,41.777,2.48,-4.59,-4.73,57.437,45.976,2.22,71.07836,2.33047,3,5
2018-07-07T22:14:56.40Z,37.8349446,-121.6328006,42.734,2.20,-3.82,-4.65,57.627,46.126,2.14,69.51274,2.34098,3,5
2018-07-07T22:14:56.60Z,37.8349484,-121.6327626,41.230,2.16,-3.28,-4.51,60.175,47.617,2.08,68.25364,2.35201,3,5
2018-07-07T22:14:56.80Z,37.8349452,-121.6327501,41.630,2.35,-3.06,-4.45,60.163,47.647,2.05,67.01323,2.36177,3,5
2018-07-07T22:14:57.00Z,37.8349606,-121.6327473,41.780,2.44,-2.83,-4.37,58.186,45.786,2.01,65.84416,2.37148,3,5
2018-07-07T22:14:57.20Z,37.8349645,-121.6327495,42.661,1.71,-2.01,-4.51,60.683,48.023,1.86,65.25828,2.38507,3,5
2018-07-07T22:14:57.40Z,37.8349588,-121.6327623,44.591,1.07,-1.42,-4.65,63.288,49.499,1.72,65.25828,2.40379,3,5
2018-07-07T22:14:57.60Z,37.8349686,-121.6327837,45.142,1.51,-1.60,-4.50,63.538,49.660,1.77,64.84590,2.41801,3,5
2018-07-07T22:14:57.80Z,37.8349710,-121.6327788,44.205,1.14,-1.29,-4.44,61.258,48.346,1.69,64.84590,2.43576,3,5
2018-07-07T22:14:58.00Z,37.8349710,-121.6327779,41.469,1.48,-1.30,-4.38,63.984,50.702,1.71,64.51411,2.44953,3,5
2018-07-07T22:14:58.20Z,37.8349634,-121.6327623,42.554,0.94,-0.86,-4.41,61.966,49.559,1.60,64.51411,2.46633,3,5
2018-07-07T22:14:58.40Z,37.8349430,-121.6327245,44.269,0.44,-0.48,-4.41,55.760,45.037,1.51,64.51411,2.48254,3,6
2018-07-07T22:14:58.60Z,37.8349427,-121.6327178,45.292,0.00,-0.20,-4.40,56.318,45.403,1.46,64.51411,2.49839,3,6
2018-07-07T22:14:58.80Z,37.8349415,-121.6327170,44.152,-0.48,-0.35,-4.45,56.406,45.441,1.48,64.51411,2.51435,3,6
2018-07-07T22:14:59.00Z,37.8349576,-121.6327544,45.212,0.29,-0.96,-4.30,62.308,50.761,1.53,64.51411,2.53009,3,6
2018-07-07T22:14:59.19Z,37.8349535,-121.6327626,43.696,0.65,-1.17,-4.19,59.905,48.920,1.56,64.51411,2.54569,3,6
2018-07-07T22:14:59.40Z,37.8349582,-121.6327460,42.544,0.53,-0.32,-4.13,54.447,44.307,1.46,64.51411,2.56063,3,6
2018-07-07T22:14:59.60Z,37.8349604,-121.6327500,41.372,0.81,-0.55,-4.03,44.417,35.640,1.49,64.51411,2.57530,3,6
2018-07-07T22:14:59.80Z,37.8349509,-121.6327499,41.823,1.09,-0.92,-3.90,61.897,51.201,1.56,64.51411,2.58979,3,6
2018-07-07T22:15:00.00Z,37.8349544,-121.6327576,42.037,1.70,-1.71,-3.78,58.951,48.460,1.69,63.92112,2.59844,3,6
2018-07-07T22:15:00.20Z,37.8349647,-121.6327680,42.070,1.61,-1.57,-3.76,62.562,50.917,1.67,63.40029,2.60735,3,6
2018-07-07T22:15:00.40Z,37.8349708,-121.6327671,41.106,1.40,-1.52,-3.75,62.120,50.674,1.64,62.95364,2.61690,3,6
2018-07-07T22:15:00.60Z,37.8349774,-121.6327750,40.363,1.16,-1.08,-3.80,62.567,50.900,1.56,62.95364,2.63109,3,6
2018-07-07T22:15:00.80Z,37.8349629,-121.6327753,40.359,0.95,-1.15,-3.85,63.549,52.077,1.55,62.95364,2.64525,3,6
2018-07-07T22:15:01.00Z,37.8349681,-121.6327752,42.028,0.74,-1.23,-3.90,58.032,47.388,1.54,62.95364,2.65942,3,6
2018-07-07T22:15:01.20Z,37.8349514,-121.6327720,42.996,0.27,-1.36,-4.07,58.057,47.433,1.52,62.95364,2.67385,3,6
2018-07-07T22:15:01.40Z,37.8349474,-121.6327414,32.307,-5.12,-2.66,-13.60,84.874,114.435,7.60,62.95364,2.72315,3,6
2018-07-07T22:15:01.60Z,37.8349304,-121.6327424,34.428,-4.91,-2.82,-13.89,65.145,64.197,4.09,63.95465,2.76282,3,6
2018-07-07T22:15:01.80Z,37.8349237,-121.6327515,36.668,-3.72,-3.58,-13.13,50.930,54.954,3.61,65.12421,2.79903,3,6
2018-07-07T22:15:02.00Z,37.8349186,-121.6327598,38.230,-1.91,-3.38,-11.55,43.128,48.909,3.30,65.98455,2.83098,3,6
2018-07-07T22:15:02.20Z,37.8349160,-121.6327649,39.089,-0.97,-3.28,-10.31,38.031,44.562,3.06,65.19968,2.85878,3,6
2018-07-07T22:15:02.40Z,37.8349124,-121.6327694,39.404,-0.31,-3.10,-8.95,34.458,41.487,2.86,64.45434,2.88175,3,6
2018-07-07T22:15:02.60Z,37.8349094,-121.6327695,39.403,-0.18,-2.44,-7.69,31.927,39.075,2.70,64.45434,2.90684,3,6
2018-07-07T22:15:02.80Z,37.8349055,-121.6327691,39.521,-0.41,-2.08,-6.92,29.963,37.154,2.57,64.45434,2.92917,3,6
2018-07-07T22:15:03.00Z,37.8349005,-121.6327666,39.748,-0.80,-1.43,-6.52,28.288,35.420,2.44,64.45434,2.94976,3,6
2018-07-07T22:15:03.20Z,37.8348978,-121.6327636,39.597,-1.00,-0.98,-5.93,26.965,33.968,2.32,64.45434,2.96831,3,6
2018-07-07T22:15:03.40Z,37.8348963,-121.6327617,39.319,-1.01,-0.98,-5.33,25.844,32.685,2.24,64.45434,2.98499,3,6
2018-07-07T22:15:03.60Z,37.8348949,-121.6327604,39.245,-0.97,-0.88,-4.99,24.864,31.544,2.16,64.45434,3.00049,3,6
