time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:17:53.47Z,37.8346824,-121.6322719,28.551,0.34,-0.02,-0.08,930.599,883.278,2.47,0.00000,166.24416,3,4
2018-07-07T22:17:53.80Z,37.8344880,-121.6322721,44.284,0.43,-0.12,0.02,149.503,104.726,3.53,0.00000,166.24420,3,4
2018-07-07T22:17:53.99Z,37.8344808,-121.6322492,44.217,0.53,0.17,0.00,137.477,96.343,3.20,0.00000,166.24422,3,4
2018-07-07T22:17:54.24Z,37.8346029,-121.6320802,-11.697,0.40,0.28,0.16,71.438,65.315,1.47,0.00000,166.24426,3,5
2018-07-07T22:17:54.38Z,37.8346631,-121.6322571,32.099,0.73,0.18,0.20,50.051,48.735,1.10,0.00000,166.24430,3,5
2018-07-07T22:17:54.56Z,37.8347632,-121.6323169,50.564,0.74,0.45,0.55,39.816,38.891,1.26,0.00000,166.24436,3,5
2018-07-07T22:17:55.80Z,37.8347040,-121.6320984,-6.201,1.73,0.81,2.74,16.871,17.158,1.73,24.53004,23.31619,3,6
2018-07-07T22:17:56.00Z,37.8347320,-121.6320825,-6.285,0.88,0.72,2.60,16.557,10.724,1.20,24.53004,23.31729,3,6
2018-07-07T22:17:56.20Z,37.8347311,-121.6320603,-6.191,0.27,0.73,2.44,13.613,10.292,1.22,24.53004,23.31828,3,6
2018-07-07T22:17:56.40Z,37.8346891,-121.6320544,-6.376,-0.39,0.60,2.30,8.960,10.033,1.19,24.53004,23.31921,3,6
2018-07-07T22:17:56.60Z,37.8346777,-121.6320479,-7.290,-0.34,0.64,1.98,7.063,8.977,1.13,24.53004,23.32002,3,6
2018-07-07T22:17:56.80Z,37.8346783,-121.6320446,-7.865,-0.39,0.63,1.75,5.845,8.093,1.05,24.53004,23.32075,3,7
2018-07-07T22:17:57.00Z,37.8346791,-121.6320355,-7.979,-0.52,0.67,1.61,5.133,7.398,0.99,24.53004,23.32146,3,7
2018-07-07T22:17:57.20Z,37.8346840,-121.6320285,-8.739,-0.31,0.42,1.50,4.852,7.060,1.00,24.53004,23.32207,3,7
2018-07-07T22:17:57.40Z,37.8346836,-121.6320303,-8.463,-0.76,-0.19,1.19,4.720,6.868,0.97,24.53004,23.32262,3,7
2018-07-07T22:17:57.60Z,37.8346821,-121.6320361,-7.908,-1.22,-0.29,0.96,4.464,6.585,1.04,84.22974,18.74895,3,7
2018-07-07T22:17:57.80Z,37.8346790,-121.6320458,-7.145,-1.49,-0.44,0.68,4.140,6.230,1.00,126.02501,14.84790,3,7
2018-07-07T22:17:58.00Z,37.8346753,-121.6320504,-6.551,-1.69,-0.26,0.51,3.847,5.933,0.96,147.47703,12.03949,3,7
2018-07-07T22:17:58.20Z,37.8346695,-121.6320537,-6.939,-1.87,-0.33,0.45,3.624,5.730,0.97,159.54041,10.18964,3,7
2018-07-07T22:17:58.40Z,37.8346654,-121.6320564,-7.435,-1.75,-0.28,0.37,3.363,5.520,0.88,165.56989,9.08838,3,7
2018-07-07T22:17:58.60Z,37.8346641,-121.6320572,-7.941,-1.60,-0.16,0.36,3.276,5.438,0.98,168.26231,8.45867,3,7
2018-07-07T22:17:58.80Z,37.8346613,-121.6320583,-8.089,-1.35,-0.12,0.37,3.234,5.430,1.03,169.68376,8.09646,3,7
2018-07-07T22:17:59.00Z,37.8346578,-121.6320586,-8.054,-1.21,0.03,0.42,3.198,5.423,1.04,170.22075,7.85184,3,7
2018-07-07T22:17:59.20Z,37.8346582,-121.6320578,-8.216,-1.00,0.16,0.45,3.175,5.402,1.06,170.25753,7.70369,3,7
2018-07-07T22:17:59.40Z,37.8346588,-121.6320583,-8.285,-0.87,0.15,0.46,3.158,5.373,1.07,170.25753,7.70486,3,7
2018-07-07T22:17:59.60Z,37.8346593,-121.6320578,-8.545,-0.84,0.15,0.51,3.145,5.355,1.08,170.25753,7.70602,3,7
2018-07-07T22:17:59.80Z,37.8346590,-121.6320581,-8.527,-0.84,0.25,0.56,3.134,5.332,1.07,170.25753,7.70723,3,7
2018-07-07T22:18:00.00Z,37.8346596,-121.6320605,-7.981,-0.79,0.17,0.57,3.111,5.269,1.04,170.25753,7.70838,3,7
2018-07-07T22:18:00.20Z,37.8346604,-121.6320636,-7.229,-0.76,0.15,0.53,3.086,5.192,1.03,170.25753,7.70948,3,7
2018-07-07T22:18:00.40Z,37.8346609,-121.6320656,-6.675,-0.62,0.28,0.54,3.057,5.119,1.00,170.25753,7.71049,3,7
2018-07-07T22:18:00.60Z,37.8346623,-121.6320685,-5.586,-0.48,0.29,0.52,3.014,5.014,0.96,170.25753,7.71139,3,7
2018-07-07T22:18:00.80Z,37.8346629,-121.6320717,-4.500,-0.47,0.28,0.50,2.966,4.876,0.94,170.25753,7.71225,3,7
2018-07-07T22:18:01.00Z,37.8346630,-121.6320769,-2.852,-0.44,0.33,0.48,2.904,4.675,0.91,170.25753,7.71310,3,7
2018-07-07T22:18:01.20Z,37.8346622,-121.6320857,-0.345,-0.35,0.30,0.36,2.836,4.431,0.90,170.25753,7.71378,3,7
2018-07-07T22:18:01.38Z,37.8346668,-121.6320819,-1.061,-0.39,0.31,0.47,3.203,4.859,0.90,170.25753,7.71458,3,7
2018-07-07T22:18:01.58Z,37.8346719,-121.6320822,-0.682,-0.34,0.28,0.45,3.733,5.514,0.88,170.25753,7.71531,3,7
2018-07-07T22:18:01.80Z,37.8346773,-121.6320821,-0.312,-0.41,0.23,0.40,4.024,5.805,0.91,170.25753,7.71610,3,7
2018-07-07T22:18:02.00Z,37.8346819,-121.6320799,-0.689,-0.18,0.14,0.36,4.027,5.682,0.80,170.25753,7.71661,3,7
2018-07-07T22:18:02.20Z,37.8346880,-121.6320794,-0.687,-0.14,0.08,0.31,3.998,5.562,0.77,170.25753,7.71701,3,7
2018-07-07T22:18:02.40Z,37.8346934,-121.6320794,-0.664,-0.04,0.00,0.25,3.946,5.420,0.69,170.25753,7.71730,3,7
2018-07-07T22:18:02.60Z,37.8346979,-121.6320808,-0.442,-0.11,0.07,0.19,3.881,5.280,0.78,170.25753,7.71758,3,7
2018-07-07T22:18:02.80Z,37.8347007,-121.6320834,-0.091,-0.06,0.00,0.14,3.810,5.146,0.74,170.25753,7.71775,3,7
2018-07-07T22:18:03.00Z,37.8347029,-121.6320857,0.261,0.10,0.00,0.06,3.722,4.988,0.81,170.25753,7.71789,3,7
2018-07-07T22:18:03.20Z,37.8347043,-121.6320883,0.664,0.04,-0.02,0.01,3.622,4.819,0.76,170.25753,7.71795,3,7
2018-07-07T22:18:03.40Z,37.8347060,-121.6320910,1.130,0.10,-0.03,-0.07,3.528,4.660,0.87,170.25753,7.71810,3,7
2018-07-07T22:18:03.60Z,37.8347083,-121.6320939,1.653,0.06,-0.03,-0.11,3.414,4.490,0.78,170.25753,7.71824,3,7
2018-07-07T22:18:03.80Z,37.8347105,-121.6320965,2.121,0.10,-0.14,-0.18,3.296,4.316,0.74,170.25753,7.71853,3,7
2018-07-07T22:18:04.00Z,37.8347129,-121.6320991,2.583,0.15,-0.15,-0.22,3.173,4.139,0.74,170.25753,7.71889,3,7
2018-07-07T22:18:04.20Z,37.8347146,-121.6321015,3.004,0.13,-0.09,-0.25,3.039,3.953,0.72,170.25753,7.71923,3,7
2018-07-07T22:18:04.40Z,37.8347157,-121.6321035,3.382,0.12,-0.08,-0.26,2.933,3.800,0.74,170.25753,7.71958,3,7
2018-07-07T22:18:04.60Z,37.8347160,-121.6321051,3.663,0.08,-0.16,-0.27,2.832,3.653,0.73,170.25753,7.71995,3,7
2018-07-07T22:18:04.80Z,37.8347167,-121.6321074,4.034,0.10,-0.13,-0.27,2.743,3.526,0.75,170.25753,7.72032,3,7
2018-07-07T22:18:05.00Z,37.8347174,-121.6321095,4.447,-0.09,-0.10,-0.31,2.665,3.415,0.68,170.25753,7.72072,3,7
2018-07-07T22:18:05.20Z,37.8347183,-121.6321125,5.023,0.09,-0.11,-0.32,2.554,3.303,0.70,170.25753,7.72112,3,7
2018-07-07T22:18:05.40Z,37.8347181,-121.6321150,5.533,0.08,0.03,-0.33,2.450,3.195,0.64,170.25753,7.72151,3,7
2018-07-07T22:18:05.60Z,37.8347176,-121.6321168,5.876,0.03,0.03,-0.31,2.339,3.074,0.63,170.25753,7.72188,3,7
2018-07-07T22:18:05.80Z,37.8347173,-121.6321181,6.124,-0.03,-0.09,-0.34,2.234,2.944,0.69,170.25753,7.72229,3,7
2018-07-07T22:18:06.00Z,37.8347170,-121.6321196,6.308,-0.08,-0.34,-0.28,2.144,2.843,0.74,170.25753,7.72281,3,7
2018-07-07T22:18:06.20Z,37.8347168,-121.6321209,6.450,0.02,-0.20,-0.26,2.102,2.766,0.71,170.25753,7.72319,3,7
