time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:15:04.20Z,37.8352242,-121.6318794,-97.185,4.63,6.59,15.89,133.494,184.733,11.30,54.93534,14.77360,3,4
2018-07-07T22:15:04.40Z,37.8352742,-121.6318424,-106.757,4.52,6.52,15.69,114.548,122.859,7.64,55.25434,17.58084,3,4
2018-07-07T22:15:04.60Z,37.8352952,-121.6318106,-115.985,4.46,6.38,14.89,97.975,117.498,5.93,55.06740,12.19340,3,4
2018-07-07T22:15:04.80Z,37.8353066,-121.6317821,-121.107,4.59,6.25,14.45,80.691,101.200,5.01,53.75099,10.79770,3,4
2018-07-07T22:15:05.00Z,37.8352965,-121.6317713,-120.878,4.55,6.15,14.34,70.541,90.843,4.49,53.50381,10.73627,3,4
2018-07-07T22:15:05.20Z,37.8352937,-121.6317781,-119.087,5.00,6.44,13.96,62.863,80.966,4.12,52.17795,10.30384,3,4
2018-07-07T22:15:05.40Z,37.8353017,-121.6317657,-121.046,5.12,6.75,13.73,58.446,75.824,3.96,52.80224,10.08499,3,4
2018-07-07T22:15:05.60Z,37.8353006,-121.6317513,-122.292,4.04,6.82,13.02,54.846,71.596,3.83,59.38635,10.56272,3,4
2018-07-07T22:15:05.80Z,37.8353041,-121.6317336,-123.787,3.51,7.13,12.23,51.629,67.795,3.69,63.79822,10.56531,3,4
2018-07-07T22:15:06.00Z,37.8353096,-121.6317197,-125.219,3.29,7.18,11.31,49.093,64.548,3.61,65.37639,9.97603,3,4
2018-07-07T22:15:06.20Z,37.8353104,-121.6317128,-124.940,2.83,6.66,10.28,46.470,60.775,3.48,66.94404,10.73308,3,4
2018-07-07T22:15:06.40Z,37.8353174,-121.6316967,-126.771,2.49,6.56,9.81,44.390,57.853,3.36,69.23191,11.51113,3,4
2018-07-07T22:15:06.60Z,37.8353214,-121.6316810,-128.279,2.21,6.12,9.31,42.690,55.498,3.26,70.12299,12.48106,3,4
2018-07-07T22:15:06.80Z,37.8353233,-121.6316678,-129.489,1.77,5.67,8.84,41.291,53.588,3.17,72.64214,13.83422,3,4
2018-07-07T22:15:07.00Z,37.8353239,-121.6316621,-129.989,1.53,5.17,8.27,40.053,51.916,3.09,73.54840,15.24825,3,4
2018-07-07T22:15:07.20Z,37.8353259,-121.6316507,-131.573,0.97,5.05,7.96,38.951,50.434,3.01,79.11517,17.08442,3,4
2018-07-07T22:15:07.40Z,37.8353266,-121.6316404,-132.146,0.72,4.74,7.34,38.015,49.102,2.93,81.40569,18.69968,3,4
2018-07-07T22:15:07.60Z,37.8353300,-121.6316274,-133.390,0.62,4.62,6.99,37.114,47.923,2.86,82.35368,19.23447,3,4
2018-07-07T22:15:07.80Z,37.8353349,-121.6316152,-134.174,1.08,4.49,6.65,36.239,46.742,2.81,76.44490,17.97662,3,4
