time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-08T00:06:54.00Z,37.8350175,-121.6328051,15.511,-0.10,-0.74,-0.31,132.110,117.557,5.67,0.00000,122.67398,3,4
2018-07-08T00:06:54.20Z,37.8350559,-121.6327288,9.069,0.02,-0.09,-0.65,102.529,92.906,4.44,0.00000,122.67430,3,4
2018-07-08T00:06:54.80Z,37.8350870,-121.6327513,19.717,-0.02,-0.44,-0.38,34.075,41.781,1.25,0.00000,122.67468,3,4
2018-07-08T00:06:55.00Z,37.8350892,-121.6327390,20.025,-0.01,-0.35,-0.29,27.996,35.968,1.15,0.00000,122.67476,3,7
2018-07-08T00:06:55.20Z,37.8350957,-121.6327458,21.370,0.01,-0.36,-0.45,24.822,32.891,1.29,0.00000,122.67486,3,6
2018-07-08T00:06:55.40Z,37.8350943,-121.6327441,22.926,0.18,-0.34,-0.30,22.066,30.113,1.06,0.00000,122.67494,3,7
2018-07-08T00:06:55.60Z,37.8350880,-121.6327615,20.415,0.10,-0.32,-0.29,19.812,26.698,1.04,0.00000,122.67502,3,8
2018-07-08T00:06:55.80Z,37.8350826,-121.6327740,15.756,0.15,-0.17,-0.18,18.385,23.440,1.04,0.00000,122.67510,3,7
2018-07-08T00:06:56.00Z,37.8350772,-121.6327773,13.396,0.20,0.13,-0.27,17.226,21.707,0.78,0.00000,122.67516,3,7
2018-07-08T00:06:56.20Z,37.8350680,-121.6327815,12.298,0.17,0.18,-0.32,15.932,19.545,0.79,0.00000,122.67522,3,8
2018-07-08T00:06:56.40Z,37.8350665,-121.6327843,10.989,0.19,0.38,-0.31,14.874,18.218,0.79,0.00000,122.67528,3,8
2018-07-08T00:06:56.60Z,37.8350649,-121.6327833,10.085,0.02,0.45,-0.36,13.948,16.680,0.91,0.00000,122.67534,3,8
2018-07-08T00:06:56.80Z,37.8350621,-121.6327843,10.053,0.28,0.55,-0.39,13.197,15.833,0.76,0.00000,122.67540,3,8
