time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:16:39.20Z,37.8354858,-121.6328925,45.665,0.51,0.11,-1.59,90.036,116.226,6.03,0.00000,180.00000,3,4
2018-07-07T22:16:39.40Z,37.8354358,-121.6328798,43.106,-0.03,-0.84,-1.04,83.661,83.268,4.49,0.00000,180.00000,3,4
2018-07-07T22:16:39.60Z,37.8354455,-121.6328835,41.193,-0.10,-0.88,-1.30,68.713,77.855,3.47,0.00000,147.77588,3,4
2018-07-07T22:16:39.80Z,37.8354315,-121.6328644,39.774,-0.04,-0.97,-0.98,53.641,66.573,2.92,0.00000,147.77606,3,4
2018-07-07T22:16:40.00Z,37.8354239,-121.6328569,40.426,-0.37,-1.02,-1.10,45.608,59.002,2.53,0.00000,147.77622,3,4
2018-07-07T22:16:40.20Z,37.8353411,-121.6327332,33.315,-0.19,-0.87,-1.54,39.050,53.567,2.50,0.00000,147.77636,3,4
2018-07-07T22:16:40.40Z,37.8352568,-121.6326376,19.432,0.10,-0.61,-1.39,31.321,42.972,2.15,0.00000,147.77650,3,5
2018-07-07T22:16:40.60Z,37.8352240,-121.6325885,11.826,0.00,-0.18,-1.22,28.361,39.073,1.90,0.00000,147.77662,3,6
2018-07-07T22:16:40.80Z,37.8351969,-121.6325398,6.066,-0.20,-0.08,-0.91,26.076,36.134,1.76,0.00000,147.77672,3,6
2018-07-07T22:16:41.00Z,37.8352039,-121.6325226,4.798,-0.13,0.08,-0.76,24.562,34.981,1.59,0.00000,147.77682,3,5
2018-07-07T22:16:41.20Z,37.8352019,-121.6325037,3.655,0.11,0.30,-0.75,23.226,33.929,1.34,0.00000,147.77690,3,5
2018-07-07T22:16:41.40Z,37.8352058,-121.6324860,2.410,0.27,0.50,-0.64,22.089,32.984,1.06,0.00000,147.77696,3,5
2018-07-07T22:16:41.60Z,37.8352112,-121.6324771,1.644,0.32,0.38,-0.66,20.923,32.043,1.19,0.00000,147.77704,3,5
2018-07-07T22:16:41.80Z,37.8352272,-121.6324762,1.391,0.72,0.42,-0.74,19.573,31.110,1.19,0.00000,147.77712,3,5
