time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-07-07T22:15:01.20Z,37.8349438,-121.6327657,-2.156,1.07,-0.50,-0.69,64.769,84.807,3.32,0.00000,176.05418,3,5
2018-07-07T22:15:01.40Z,37.8349396,-121.6327653,-3.967,1.34,-0.70,-0.31,52.207,44.598,2.09,0.00000,101.77524,3,5
2018-07-07T22:15:01.80Z,37.8349536,-121.6327643,-6.847,0.11,-0.52,-0.33,41.882,46.192,2.04,0.00000,101.77556,3,5
2018-07-07T22:15:02.00Z,37.8349439,-121.6327720,-7.868,-0.11,-0.72,-0.48,36.662,42.849,1.90,0.00000,101.77574,3,5
2018-07-07T22:15:02.20Z,37.8349368,-121.6327728,-8.741,-0.18,-0.83,-0.64,32.940,40.019,1.80,0.00000,101.77588,3,5
2018-07-07T22:15:02.40Z,37.8349285,-121.6327770,-10.148,-0.37,-0.81,-0.60,30.287,37.597,1.72,0.00000,101.77604,3,5
2018-07-07T22:15:02.60Z,37.8349249,-121.6327774,-10.395,-0.26,-1.00,-0.82,28.311,35.556,1.70,0.00000,101.77620,3,5
2018-07-07T22:15:02.80Z,37.8349220,-121.6327760,-10.160,-0.34,-1.03,-1.06,26.760,33.928,1.68,0.00000,101.77634,3,5
2018-07-07T22:15:03.00Z,37.8349223,-121.6327684,-9.542,0.05,-0.46,-1.29,25.378,32.505,1.65,0.00000,101.77650,3,5
2018-07-07T22:15:03.20Z,37.8349255,-121.6327604,-7.973,-0.03,-0.10,-1.13,24.219,31.188,1.59,0.00000,101.77664,3,5
2018-07-07T22:15:03.40Z,37.8349270,-121.6327584,-6.609,-0.06,0.04,-1.04,23.059,30.115,1.53,0.00000,101.77678,3,6
2018-07-07T22:15:03.60Z,37.8349804,-121.6326913,-0.148,-0.16,0.10,-0.91,20.606,28.349,1.44,0.00000,101.77690,3,6
2018-07-07T22:15:03.80Z,37.8349982,-121.6326579,1.993,0.14,0.04,-0.77,19.269,26.866,1.37,0.00000,101.77702,3,6
2018-07-07T22:15:04.00Z,37.8350070,-121.6326346,2.905,-0.03,0.10,-0.67,18.172,25.367,1.30,0.00000,101.77714,3,6
2018-07-07T22:15:04.20Z,37.8350038,-121.6326298,1.525,0.03,0.09,-0.52,17.500,24.075,1.22,0.00000,101.77724,3,6
2018-07-07T22:15:04.40Z,37.8350011,-121.6326252,0.531,0.16,0.35,-0.23,16.904,23.198,1.03,0.00000,101.77734,3,7
2018-07-07T22:15:04.60Z,37.8350010,-121.6326207,-1.306,0.17,0.68,0.17,16.462,22.524,1.26,0.00000,101.77744,3,6
2018-07-07T22:15:04.80Z,37.8350009,-121.6326158,-2.418,0.42,0.78,0.33,15.983,21.928,1.32,0.00000,101.77756,3,7
